HourEnding,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
01/01/2018 01:00,"11,425.98","1,852.66","2,823.41","1,135.36","18,584.34","3,831.65","9,151.19","1,762.47","50,567.07"
01/01/2018 02:00,"11,408.42","1,850.17","2,809.75","1,136.63","18,524.14","3,988.27","9,144.99","1,754.72","50,617.09"
01/01/2018 03:00,"11,405.20","1,858.27","2,797.80","1,135.93","18,532.06","4,076.09","9,141.04","1,747.92","50,694.30"
01/01/2018 04:00,"11,450.56","1,879.62","2,807.79","1,146.07","18,647.44","4,154.94","9,157.96","1,755.20","50,999.59"
01/01/2018 05:00,"11,631.34","1,876.48","2,822.99","1,154.19","19,002.10","4,247.45","9,214.33","1,774.85","51,723.73"
01/01/2018 06:00,"11,939.41","1,903.01","2,841.67","1,182.43","19,477.36","4,389.05","9,409.49","1,813.22","52,955.63"
01/01/2018 07:00,"12,268.83","1,961.79","2,854.74","1,212.75","19,984.22","4,512.57","9,647.19","1,860.98","54,303.08"
01/01/2018 08:00,"12,422.88","1,996.43","2,883.96","1,241.48","20,289.37","4,601.52","9,763.96","1,899.66","55,099.27"
01/01/2018 09:00,"12,605.15","2,012.83","2,880.94","1,243.86","20,338.61","4,709.23","9,843.84","1,919.42","55,553.89"
01/01/2018 10:00,"12,852.52","2,008.72","2,888.71","1,244.10","20,250.29","4,898.25","9,995.22","1,932.58","56,070.39"
01/01/2018 11:00,"12,915.23","1,956.00","2,862.09","1,217.57","19,996.93","5,017.00","10,061.27","1,922.83","55,948.92"
01/01/2018 12:00,"12,898.77","1,891.07","2,833.66","1,184.26","19,485.20","5,090.21","9,997.85","1,896.72","55,277.73"
01/01/2018 13:00,"12,799.62","1,815.91","2,783.86","1,134.71","18,761.46","5,100.90","9,841.93","1,859.40","54,097.80"
01/01/2018 14:00,"12,561.39","1,739.01","2,726.05","1,083.39","17,929.19","5,083.49","9,699.13","1,816.43","52,638.08"
01/01/2018 15:00,"12,276.08","1,691.23","2,677.41","1,050.48","17,300.43","5,100.08","9,579.30","1,773.20","51,448.20"
01/01/2018 16:00,"12,013.03","1,683.75","2,641.89","1,035.01","17,035.04","5,101.78","9,530.98","1,748.16","50,789.64"
01/01/2018 17:00,"12,163.41","1,740.98","2,641.47","1,046.39","17,279.86","5,127.03","9,602.77","1,750.39","51,352.32"
01/01/2018 18:00,"12,904.77","1,882.02","2,704.64","1,108.09","18,599.94","5,238.73","9,969.08","1,804.74","54,212.00"
01/01/2018 19:00,"13,557.38","1,987.77","2,857.67","1,158.52","19,778.25","5,451.47","10,332.28","1,881.12","57,004.48"
01/01/2018 20:00,"13,638.32","2,012.17","2,893.80","1,164.42","19,960.20","5,484.95","10,259.67","1,883.87","57,297.40"
01/01/2018 21:00,"13,662.92","2,027.70","2,900.22","1,165.08","20,001.50","5,479.91","10,139.78","1,869.85","57,246.96"
01/01/2018 22:00,"13,500.73","2,009.95","2,881.12","1,153.71","19,719.39","5,395.65","9,841.96","1,836.80","56,339.31"
01/01/2018 23:00,"13,104.63","1,945.96","2,831.64","1,122.27","18,993.50","5,250.64","9,373.66","1,779.75","54,402.04"
01/01/2018 24:00,"12,677.63","1,893.64","2,773.98","1,101.11","18,346.96","5,072.79","8,960.33","1,724.36","52,550.80"
01/02/2018 01:00,"12,954.54","1,877.85","2,908.41","1,109.40","18,245.55","5,105.51","7,348.84","1,630.07","51,180.17"
01/02/2018 02:00,"12,762.33","1,863.55","2,896.25","1,112.72","18,041.58","5,011.84","7,172.20","1,632.21","50,492.67"
01/02/2018 03:00,"12,672.32","1,870.35","2,903.21","1,121.27","17,954.64","4,964.11","7,093.98","1,640.71","50,220.58"
01/02/2018 04:00,"12,720.79","1,884.48","2,914.42","1,129.76","17,999.01","4,951.62","7,115.69","1,660.43","50,376.20"
01/02/2018 05:00,"12,982.67","1,923.42","2,931.03","1,146.11","18,313.72","4,972.13","7,280.40","1,696.70","51,246.18"
01/02/2018 06:00,"13,540.02","2,006.80","2,974.96","1,186.32","19,110.14","5,129.00","7,655.65","1,756.40","53,359.29"
01/02/2018 07:00,"14,259.42","2,114.64","3,034.23","1,242.55","20,146.48","5,378.29","8,150.99","1,849.02","56,175.63"
01/02/2018 08:00,"14,662.85","2,187.38","3,072.45","1,280.04","20,703.41","5,512.89","8,469.28","1,916.99","57,805.27"
01/02/2018 09:00,"14,847.38","2,235.56","3,040.62","1,297.94","20,821.65","5,606.69","8,577.66","1,920.04","58,347.54"
01/02/2018 10:00,"15,078.54","2,254.58","3,034.99","1,303.39","20,987.82","5,695.72","8,691.77","1,930.07","58,976.88"
01/02/2018 11:00,"15,249.14","2,190.93","3,030.59","1,295.13","20,975.02","5,739.27","8,765.60","1,924.07","59,169.75"
01/02/2018 12:00,"15,162.50","2,152.01","2,996.40","1,274.25","20,799.50","5,711.04","8,733.73","1,898.65","58,728.07"
01/02/2018 13:00,"14,982.16","2,157.80","2,946.62","1,241.67","20,494.03","5,621.87","8,632.56","1,866.74","57,943.44"
01/02/2018 14:00,"14,868.70","2,125.45","2,921.38","1,203.33","20,298.20","5,543.70","8,537.78","1,843.34","57,341.89"
01/02/2018 15:00,"14,784.34","2,085.83","2,897.57","1,186.08","20,172.90","5,527.97","8,497.12","1,826.63","56,978.44"
01/02/2018 16:00,"14,708.81","2,107.65","2,835.93","1,179.92","20,255.11","5,538.81","8,585.93","1,818.63","57,030.79"
01/02/2018 17:00,"14,844.78","2,126.90","2,809.17","1,174.96","20,683.04","5,616.72","8,819.10","1,810.78","57,885.46"
01/02/2018 18:00,"15,397.70","2,222.17","2,859.86","1,220.23","21,580.65","5,785.47","9,271.57","1,846.10","60,183.75"
01/02/2018 19:00,"15,655.35","2,274.21","3,003.97","1,264.50","22,168.94","6,034.88","9,616.56","1,930.27","61,948.68"
01/02/2018 20:00,"15,562.07","2,258.65","3,044.37","1,264.40","22,015.78","6,093.73","9,593.22","1,949.40","61,781.61"
01/02/2018 21:00,"15,390.07","2,229.26","3,054.22","1,255.74","21,687.86","6,082.71","9,477.47","1,948.08","61,125.41"
01/02/2018 22:00,"15,016.04","2,186.81","3,025.22","1,226.15","21,024.75","5,989.84","9,172.01","1,908.32","59,549.12"
01/02/2018 23:00,"14,447.10","2,087.45","2,976.39","1,185.46","19,962.69","5,792.93","8,685.52","1,847.18","56,984.71"
01/02/2018 24:00,"13,951.71","2,015.03","2,931.94","1,153.91","19,261.95","5,582.65","8,288.25","1,805.31","54,990.74"
01/03/2018 01:00,"13,364.63","1,946.17","2,802.05","1,128.88","18,582.42","5,174.95","9,223.09","1,709.98","53,932.18"
01/03/2018 02:00,"13,252.10","1,947.37","2,795.70","1,134.41","18,565.35","5,070.56","9,222.85","1,718.09","53,706.43"
01/03/2018 03:00,"13,279.98","1,965.86","2,793.54","1,141.88","18,644.44","5,014.42","9,334.71","1,732.34","53,907.18"
01/03/2018 04:00,"13,472.32","1,990.37","2,798.28","1,157.67","18,910.17","4,995.49","9,545.05","1,758.09","54,627.45"
01/03/2018 05:00,"13,825.13","2,041.12","2,795.13","1,179.23","19,421.48","5,045.65","9,834.08","1,785.71","55,927.54"
01/03/2018 06:00,"14,475.48","2,145.64","2,829.54","1,220.01","20,388.89","5,230.92","10,366.64","1,843.26","58,500.39"
01/03/2018 07:00,"15,273.28","2,274.35","2,882.05","1,278.31","21,632.70","5,526.79","11,053.51","1,934.52","61,855.52"
01/03/2018 08:00,"15,424.46","2,311.38","2,921.16","1,297.64","22,017.34","5,610.30","11,343.26","1,964.43","62,889.97"
01/03/2018 09:00,"15,230.10","2,251.32","2,881.24","1,270.46","21,367.33","5,544.42","10,917.55","1,889.43","61,351.86"
01/03/2018 10:00,"14,963.35","2,161.63","2,808.12","1,206.24","20,090.37","5,368.27","10,230.36","1,777.20","58,605.55"
01/03/2018 11:00,"14,573.73","2,060.18","2,724.92","1,145.48","18,873.44","5,118.12","9,423.06","1,654.38","55,573.31"
01/03/2018 12:00,"14,060.99","1,931.57","2,644.96","1,086.55","17,650.36","4,825.43","8,626.89","1,538.64","52,365.40"
01/03/2018 13:00,"13,531.92","1,762.17","2,554.93","1,016.32","16,559.56","4,512.65","7,897.00","1,438.58","49,273.12"
01/03/2018 14:00,"13,064.39","1,665.62","2,506.00",969.33,"15,636.94","4,234.78","7,349.80","1,358.57","46,785.44"
01/03/2018 15:00,"12,602.43","1,594.48","2,460.01",926.72,"14,830.67","3,984.36","6,897.85","1,298.54","44,595.06"
01/03/2018 16:00,"12,263.35","1,549.72","2,438.52",902.67,"14,360.17","3,802.84","6,656.33","1,267.57","43,241.16"
01/03/2018 17:00,"12,139.26","1,626.02","2,418.93",914.58,"14,406.44","3,740.21","6,651.08","1,267.99","43,164.50"
01/03/2018 18:00,"12,738.87","1,726.24","2,456.02",968.94,"15,480.28","3,923.00","7,100.58","1,335.63","45,729.57"
01/03/2018 19:00,"13,509.13","1,866.24","2,606.92","1,041.55","16,745.59","4,372.91","7,934.45","1,467.28","49,544.06"
01/03/2018 20:00,"13,721.03","1,934.79","2,673.51","1,052.62","17,102.15","4,585.55","8,126.02","1,512.15","50,707.82"
01/03/2018 21:00,"13,789.67","1,967.63","2,719.58","1,054.94","17,268.62","4,753.70","8,299.96","1,544.08","51,398.18"
01/03/2018 22:00,"13,647.12","1,956.69","2,715.55","1,042.30","17,095.76","4,844.83","8,253.80","1,532.59","51,088.65"
01/03/2018 23:00,"13,214.01","1,893.82","2,669.13","1,011.29","16,464.87","4,787.77","7,971.18","1,492.03","49,504.11"
01/03/2018 24:00,"12,810.95","1,855.41","2,637.95",987.95,"15,926.69","4,677.68","7,736.42","1,463.81","48,096.87"
01/04/2018 01:00,"12,488.38","1,818.65","2,632.46",980.84,"15,670.63","4,663.92","7,621.82","1,455.58","47,332.28"
01/04/2018 02:00,"12,394.10","1,818.57","2,617.23",985.08,"15,671.03","4,643.87","7,641.84","1,461.10","47,232.81"
01/04/2018 03:00,"12,406.29","1,832.38","2,614.85",992.75,"15,782.13","4,655.97","7,748.83","1,470.46","47,503.65"
01/04/2018 04:00,"12,536.75","1,861.49","2,629.80","1,008.69","16,059.87","4,701.25","7,926.38","1,498.20","48,222.42"
01/04/2018 05:00,"12,854.36","1,919.61","2,637.79","1,033.07","16,668.21","4,800.05","8,225.79","1,532.03","49,670.90"
01/04/2018 06:00,"13,514.09","2,009.69","2,685.43","1,080.26","17,652.87","5,022.79","8,774.48","1,602.00","52,341.61"
01/04/2018 07:00,"14,283.42","2,138.24","2,748.27","1,144.81","19,037.87","5,356.65","9,518.42","1,707.32","55,935.00"
01/04/2018 08:00,"14,482.31","2,169.90","2,796.55","1,170.14","19,569.62","5,469.23","9,744.51","1,760.88","57,163.14"
01/04/2018 09:00,"14,198.62","2,141.48","2,777.69","1,146.22","18,885.20","5,269.68","9,335.92","1,722.46","55,477.27"
01/04/2018 10:00,"13,712.36","2,010.82","2,760.63","1,092.52","17,699.02","4,859.77","8,573.56","1,628.23","52,336.90"
01/04/2018 11:00,"13,193.59","1,878.75","2,734.53","1,038.94","16,594.56","4,391.60","7,785.38","1,515.03","49,132.37"
01/04/2018 12:00,"12,632.00","1,766.36","2,706.39",991.72,"15,648.48","3,960.02","7,246.38","1,422.70","46,374.03"
01/04/2018 13:00,"12,112.41","1,655.53","2,649.36",946.82,"14,836.67","3,627.54","6,772.27","1,342.52","43,943.13"
