Subject,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
1,2,3,3,1,2,2,2,2,0,1
2,2,3,4,2,3,0,1,3,0,2
3,2,1,3,2,4,1,2,1,0,1
4,1,3,4,3,2,3,2,2,1,3
5,4,3,3,4,3,2,2,1,0,0
6,2,4,4,2,4,0,1,1,0,0
7,2,3,3,3,2,2,2,1,1,3
8,3,3,3,2,3,1,2,1,1,1
9,2,3,2,1,2,1,3,2,0,0
10,2,3,1,2,2,0,2,1,0,0
11,4,2,4,0,0,4,3,4,3,1
12,3,2,4,2,2,1,1,0,0,0
13,2,3,2,1,2,0,2,2,1,0
14,2,2,4,1,2,1,1,1,0,2
15,2,3,2,1,2,1,1,2,0,0
16,1,2,2,0,1,1,3,3,0,0
17,3,2,3,1,3,1,3,1,0,1
18,3,4,2,1,2,0,3,2,0,0
19,1,2,2,1,1,0,3,2,0,0
20,3,3,4,3,2,1,1,2,0,1
