Subject,C1,C2,C3,C4,C5,C6
18,Tension,Chat,Family members,I don't know,I don't know,No
18,Energetic,Work,Family members,No,No,Yes
18,Tension,Work,Colleague,Yes,No,Yes
18,Tension,Work,No one,No,No,Yes
18,Energetic,Work,No one,No,No,Yes
18,Tired,Eating and drinking,Colleague,No,No,I don't know
18,Comfortable,Rest,Colleague,No,No,I don't know
18,Excited,Work,Colleague,No,No,I don't know
18,Tired,Work,Colleague,No,No,No
18,Tired,Free time,No one,No,Yes,No
18,Tired,Free time,No one,No,No,No
18,Sad,Free time,Family members,Yes,No,No
19,Unhappy,Free time,Family members,Yes,No,No
19,Neutral,Work,Colleague,No,I don't know,I don't know
19,Neutral,Work,Colleague,No,I don't know,I don't know
19,Tension,Work,Colleague,Yes,Yes,I don't know
19,Neutral,Work,Colleague,No,No,I don't know
19,Tension,Work,Colleague,Yes,No,I don't know
19,Tension,Work,Colleague,Yes,No,I don't know
19,Sad,Work,Colleague,Yes,Yes,No
19,Comfortable,Free time,Colleague,No,No,I don't know
19,Tired,Other,Foreigners,No,Yes,No
19,Energetic,Work,Colleague,No,No,Yes
19,Comfortable,Work,Colleague,No,I don't know,Yes
19,Neutral,Rest,Colleague,No,No,I don't know
19,Comfortable,Eating and drinking,Colleague,No,No,Yes
19,Comfortable,Work,Colleague,No,No,Yes
19,Tension,Work,No one,Yes,I don't know,Yes
19,Tension,Work,No one,No,Yes,Yes
19,Comfortable,Work,No one,No,No,No
19,Tension,Work,No one,No,No,Yes
19,Comfortable,Work,No one,No,No,Yes
19,Excited,Work,No one,No,No,Yes
19,Tension,Work,No one,No,No,I don't know
19,Angry,Work,No one,No,I don't know,No
19,Comfortable,Work,No one,I don't know,I don't know,No
19,Tired,Work,Colleague,No,No,No
19,Tired,Other,No one,Yes,Yes,No
19,Good,Work,No one,No,No,Yes
19,Neutral,Work,No one,No,No,Yes
19,Tired,Work,No one,No,I don't know,Yes
19,Tired,Rest,No one,No,Yes,I don't know
19,Good,Eating and drinking,Family members,No,No,I don't know
19,Tired,Rest,No one,No,No,No
19,Happy,Work,Colleague,No,No,Yes
20,Good,Work,Colleague,No,I don't know,Yes
20,Good,Work,Colleague,No,No,Yes
20,Excited,Work,Colleague,No,I don't know,Yes
20,Good,Work,Friends,No,No,Yes
20,Tired,Other,No one,No,Yes,No
20,Neutral,Work,Colleague,Yes,No,Yes
20,Happy,Work,No one,No,No,Yes
20,Anxious,Work,No one,Yes,No,Yes
20,Tired,Work,No one,No,Yes,I don't know
20,Good,Eating and drinking,Family members,No,No,I don't know
20,Anxious,Work,No one,No,Yes,No
20,Good,Work,Colleague,No,No,Yes
20,Energetic,Eating and drinking,Colleague,No,No,Yes
20,Tired,Work,No one,No,Yes,No
20,Good,Other,Foreigners,No,No,Yes
20,Tension,Work,No one,Yes,Yes,Yes
20,Happy,Eating and drinking,Spouse,No,No,Yes
20,Happy,Other,Spouse,No,No,Yes
20,Happy,Eating and drinking,Spouse,No,No,Yes
20,Unhappy,Eating and drinking,Friends,No,No,Yes
20,Happy,Chat,Friends,No,No,Yes
20,Happy,Other,Foreigners,No,Yes,Yes
20,Energetic,Work,No one,No,No,Yes
20,Anxious,Work,No one,Yes,No,Yes
20,Tension,Work,No one,No,No,Yes
20,Tension,Work,No one,No,No,Yes
20,Tired,Rest,Family members,No,Yes,No
20,Energetic,Work,No one,No,No,Yes
20,Happy,Eating and drinking,No one,No,No,Yes
20,Good,Work,No one,No,No,Yes
20,Good,Work,No one,No,No,Yes
20,Angry,Other,No one,Yes,Yes,I don't know
20,Tension,Work,Family members,No,Yes,I don't know
