Subject,C1,C2,C3,C4,C5,C6
5,Good,Eating and drinking,No one,No,No,Yes
5,Good,Listen to music,No one,No,No,No
5,Neutral,Work,Crowd,No,Yes,I don't know
5,Energetic,Work,Colleague,Yes,Yes,No
5,Tension,Chat,Colleague,Yes,Yes,No
5,Tension,Work,Crowd,Yes,Yes,No
5,Neutral,Chat,Family members,No,I don't know,Yes
5,Neutral,Other,Family members,No,Yes,No
5,Neutral,Work,Colleague,No,I don't know,Yes
5,Neutral,Chat,Colleague,No,Yes,Yes
5,Guilty,Cleaning,No one,Yes,No,No
5,Neutral,Cleaning,No one,No,No,No
5,Good,Listen to music,No one,No,No,I don't know
5,Good,Watching Videos,No one,No,No,I don't know
5,Neutral,Eating and drinking,No one,No,No,I don't know
5,Neutral,Free time,No one,No,No,I don't know
5,Neutral,Watching Videos,No one,I don't know,No,I don't know
5,Excited,Sport,Crowd,Yes,Yes,No
5,Tired,Chat,Family members,Yes,I don't know,No
5,Unhappy,Chat,Family members,Yes,Yes,No
5,Comfortable,Chat,Friends,No,No,I don't know
5,Comfortable,Free time,Friends,No,No,Yes
5,Neutral,Chat,Friends,No,I don't know,I don't know
5,Comfortable,Eating and drinking,No one,No,No,I don't know
5,Neutral,Chat,No one,I don't know,No,I don't know
5,Unhappy,Work,Colleague,Yes,Yes,No
5,Excited,Work,Colleague,I don't know,Yes,No
5,Tired,Work,Colleague,I don't know,Yes,No
5,Anxious,Work,Colleague,Yes,Yes,No
6,Tired,Work,Colleague,I don't know,Yes,No
6,Neutral,Chat,Family members,No,I don't know,No
6,Good,Listen to music,No one,No,No,I don't know
6,Energetic,Other,No one,No,No,I don't know
6,Unhappy,Other,No one,Yes,Yes,No
6,Other,Work,Family members,I don't know,I don't know,No
6,Tired,Other,Family members,I don't know,I don't know,No
6,Neutral,Chat,Family members,No,I don't know,No
6,Neutral,Work,Colleague,No,I don't know,I don't know
6,Neutral,Eating and drinking,Colleague,No,Yes,I don't know
6,Tired,Rest,Family members,No,No,No
6,Comfortable,Chat,Family members,No,No,Yes
6,Happy,Eating and drinking,Family members,No,No,Yes
6,Energetic,Eating and drinking,Family members,No,No,Yes
6,Happy,Rest,Family members,No,No,No
6,Tired,Watching Videos,Family members,No,No,No
6,Comfortable,Chat,Family members,No,No,No
6,Tension,Work,No one,Yes,No,I don't know
6,Pleased,Work,Crowd,No,No,I don't know
6,Comfortable,Work,Crowd,No,No,Yes
