Ingredient,Measure,IngredientNumber,idDrink
Lime Juice,2 cl,2,178315
Lemon juice,1 tblsp ,2,12362
Lemon juice,2 cl ,2,14594
Green Chartreuse,1/2 oz ,2,11566
Roses sweetened lime juice,1 oz,2,178318
Pineapple,1/2 ,2,12718
Tequila,2 oz ,2,16158
Water,2 cups cold ,2,12696
Peach Bitters,2 dashes,2,17187
Grenadine,1 tblsp ,2,14272
Bourbon,2 1/2 oz ,2,17206
Cranberry juice,4 oz ,2,13377
Raspberry syrup,1/2 oz,2,178333
Southern Comfort,1 shot ,2,16405
Cranberry juice,4 oz ,2,15024
Orange Peel,3,2,178313
Blueberry schnapps,,2,17105
Sugar,3 tblsp ,2,12916
Gin,1 1/2 oz ,2,11991
Water,2 tsp ,2,11146
Coffee,Strong cold ,2,12772
Sugar,1 tsp ,2,12746
Jack Daniels,1 part ,2,16985
Vanilla ice-cream,2 scoops ,2,14510
Banana Liqueur,1 oz,2,178320
Lime Juice,1 shot,2,178329
Lemon-lime soda,4 oz ,2,17167
Coriander,1/4 tsp ,2,12782
Water,1 gal ,2,12702
Grapefruit Juice,Top,2,178348
Vanilla extract,4 tblsp ,2,12798
Amaretto,3/4 oz ,2,11424
Kahlua,,2,13807
Tonic water,5 oz ,2,11403
Triple sec,1 1/2 tsp ,2,17836
Sugar,1 tsp superfine ,2,11419
Gin,1 1/2 oz ,2,12420
Anisette,1 tsp ,2,12186
Strawberries,1 cup ,2,12670
Campari,30 ml,2,178340
Grand Marnier,1 Shot ,2,17222
Absolut Peppar,1/2 oz ,2,13070
Baileys irish cream,2 cl ,2,15328
Club soda,28 oz ,2,13042
Vodka,1 oz ,2,16984
Apricot brandy,1 oz ,2,11011
Hot Damn,0.25 oz ,2,13194
Sweet Vermouth,1/2 oz ,2,12450
Triple sec,1/2 oz ,2,12198
Coffee,8 oz ,2,13971
Vodka,1/2 oz ,2,14446
Brandy,3/4 oz ,2,11983
Chocolate liqueur,30 ml ,2,17233
Vodka,1 oz ,2,14029
Jack Daniels,4 oz ,2,15515
Sambuca,1 oz ,2,16485
Honey,15 ml,2,178345
Brandy,1/2 tsp ,2,11963
Sugar,1 cup ,2,12730
Lemon juice,1/2 oz ,2,11224
Cherry brandy,1/2 part ,2,15178
Irish cream,1/2 oz ,2,15639
Banana,1 ,2,12674
Dry Vermouth,1 oz,2,178310
Ginger Beer,100 ml,2,178369
Triple sec,1 oz ,2,15330
Brandy,3/4 oz ,2,11128
Tomato juice,3 oz ,2,11113
Strawberries,3 cups,2,178312
Dark rum,1 oz ,2,11766
Peach brandy,1/2 oz ,2,11528
Coconut liqueur,1 cl ,2,14071
Orange juice,1 tblsp ,2,12434
Orange Juice,Top,2,178341
Baileys irish cream,8 cl ,2,16262
Gin,1 1/2 oz ,2,11870
Banana,1 ,2,12708
Maraschino Liqueur,1 oz,2,17247
Water,3/4 cup ,2,12792
Lemon Juice,7 cl,2,178363
Milk,3/4 L ,2,12734
Triple Sec,3cl,2,17194
Triple sec,1/2 oz ,2,16986
Tonic Water,10 cl,2,178365
Port,9 parts,2,17192
Cointreau,1 1/2 shot ,2,14366
Wine,1 oz Green Ginger ,2,12388
Allspice,1 tblsp,2,178322
Port,1 oz ,2,11242
Root beer,Add 10 oz ,2,15933
Sugar,1 piece ,2,11227
Amaretto,2 oz ,2,16100
Orange juice,2 oz ,2,17205
Gin,,2,11666
Grenadine,1/2 shot ,2,17225
Sweet and sour,3/4 oz ,2,14107
Guinness stout,1 part ,2,13282
Sugar Syrup,1 tsp,2,178359
Vodka,1/2 oz ,2,11243
Tequila,1/2 oz ,2,17204
Chocolate,4 oz chopped bittersweet or semi-sweet ,2,12748
Triple sec,1 oz ,2,11010
Malibu rum,1 shot ,2,15226
Carbonated soft drink,", orange
",2,12954
Vodka,1/2 oz ,2,17002
Gin,1 oz ,2,13938
Amaretto,1/2 oz ,2,15200
Chambord raspberry liqueur,1/2 oz ,2,16998
Tennessee whiskey,2 oz ,2,16275
Lime Juice,1/2 oz,2,17255
Lemon juice,1 oz ,2,13214
Kahlua,1 cl,2,17212
Chambord raspberry liqueur,1/3 oz,2,17178
Grenadine,1 oz ,2,11989
Lemon-lime soda,4 oz ,2,12071
Surge,4 shots ,2,14888
Vodka,1 part ,2,16333
Grand Marnier,1/3 ,2,15853
Papaya,1/2 ,2,12714
Amaretto,1 oz ,2,11012
Lemon,2 ,2,13058
Water,3 cans ,2,16273
Grapefruit Juice,8 parts,2,17201
Tequila,1 oz ,2,12322
Chocolate syrup,,2,12688
Tonic Water,10 cl,2,178364
Creme de Cacao,1/2 oz white ,2,11024
Malibu rum,1 part ,2,16958
Amaretto,1 shot ,2,13190
Grand Marnier,1 shot ,2,17094
Lime juice,1/2 oz ,2,11027
Orgeat syrup,1/2 part ,2,17191
Pineapple juice,1 oz ,2,11470
Triple sec,1 oz ,2,11046
Frangelico,1 part ,2,13861
Grenadine,0.5 oz ,2,14586
Creme de Banane,2 cl ,2,15184
Peach schnapps,1 oz ,2,17195
Cider,1/2 pint sweet or dry ,2,13389
Benedictine,1/2 oz ,2,11602
Sugar Syrup,1 oz,2,178371
Midori melon liqueur,1/3 oz ,2,16354
Fruit juice,1 cup ,2,12672
Lime,1,2,17177
Orange,2 ,2,12716
Light rum,1 oz ,2,17184
Triple sec,1/2 oz ,2,11368
Kahlua,1 oz ,2,11023
Gin,2 oz ,2,11936
Galliano,1/2 oz ,2,11462
Amaretto,2 oz ,2,11029
Amaretto,50 ml,2,17826
Lemon juice,1 oz ,2,12402
Sugar,1 cup ,2,12988
Orange Juice,6 cl,2,178321
Gin,1 1/2 oz ,2,11013
Sugar,1 tblsp ,2,12704
Coca-Cola,,2,13581
Dry Vermouth,1 oz ,2,11020
Grape soda,1/3 part ,2,14622
Baileys irish cream,1 1/2 oz ,2,13625
Aquavit,4 cl ,2,15521
Brown sugar,1 cup ,2,12864
Dry Vermouth,1/2 oz ,2,11124
Vodka,1 oz ,2,13086
Milk,6 oz whole ,2,12668
Mountain Dew,5 oz ,2,17118
Pisang Ambon,1/3 part ,2,14374
Sugar,50 gr ,2,12790
Southern Comfort,3/4 oz ,2,14560
Midori melon liqueur,1 part ,2,13198
Gin,3/4 oz ,2,11338
Galliano,1.5 cl,2,17209
Kahlua,1 oz ,2,13499
Jägermeister,1/2 oz ,2,17060
Kahlua,1 shot ,2,17015
Grenadine,1/2 oz ,2,12214
Sugar,1/4 cup ,2,12910
Apple Schnapps,1 shot,2,178353
Grapefruit Juice,75 ml,2,178335
Apple juice,1 part ,2,15092
Coca-Cola,2 parts ,2,17135
Triple sec,1 dash ,2,11019
Powdered sugar,2 tsp ,2,12097
Cranberry juice,5 oz ,2,17114
Light rum,1 shot ,2,17065
Milk,1/2 oz ,2,14181
Coconut Liqueur,1 shot,2,178331
Pineapple,4 chunks ,2,11391
Gold rum,1 1/2 oz,2,17241
Ginger ale,,2,14608
Pineapple juice,1 oz ,2,17188
Banana,1 frozen ,2,12656
Baileys irish cream,1 cl ,2,13162
Galliano,1.5 cl,2,17219
Milk,8 oz ,2,15511
Bitter lemon,2 parts ,2,14752
Light rum,1 oz ,2,12316
Carrot,1 large ,2,12564
Vermouth,1 1/2 shot ,2,17228
Vodka,1 shot ,2,16942
Apple schnapps,1 part ,2,13683
Lime,Juice of 1 ,2,11000
Orange juice,20 oz ,2,13032
Honey,1 tsp,2,178344
Baileys irish cream,1/2 oz ,2,17079
Brandy,4 dashes ,2,12138
Lager,1/2 pint ,2,13497
Sherry,1 1/2 oz dry ,2,17838
Brandy,2 oz ,2,15194
Lemon juice,1 oz ,2,17837
Ginger ale,large bottle ,2,14978
Cointreau,1/2 oz ,2,12196
Lemon juice,1 oz ,2,11408
Amaretto,1 oz ,2,12130
Tonic water,,2,12460
Cognac,1 shot ,2,17226
Banana,1 frozen ,2,12658
Sugar Syrup,1/2 shot,2,178323
Tomato Juice,3 cl,2,17217
Baileys irish cream,1/3 ,2,13501
Tabasco sauce,1/2 oz ,2,13068
Mango,1 Fresh,2,178358
Cocoa powder,3 tblsp ,2,12744
Apple cider,12 oz ,2,16289
Goldschlager,1 oz ,2,17020
Lime,Squeeze ,2,13751
Lime Juice,1/2 shot,2,178362
Lemon,Juice of 1 ,2,11205
Water,1/2 cup boiling ,2,12786
Creme de Cacao,2 shots ,2,15615
Creme de Cacao,1 oz white ,2,11016
Sugar,1 cup ,2,13026
Dry Vermouth,3/4 oz ,2,14167
Soda Water,5 oz,2,178342
Dry Vermouth,1/3 oz ,2,11728
Triple sec,1/2 oz ,2,11007
Club soda,3 oz ,2,11157
Milk,1 cup ,2,12087
Lemon,1/4 ,2,12712
Grapefruit juice,3 cl ,2,15106
Sugar,3/4 L ,2,12802
Kahlua,1/3 oz ,2,14538
Peach schnapps,1 oz ,2,16943
Orgeat syrup,1/2 oz ,2,11690
Gin,3/4 oz ,2,12474
Lime juice,1 oz ,2,17183
Brandy,1/2 oz ,2,16951
Banana liqueur,1/4 ,2,14730
Ginger ale,,2,15997
Lemon juice,1 oz ,2,11147
Midori melon liqueur,1/2 oz ,2,16311
Godiva liqueur,3/4 oz ,2,14356
Tequila,1 1/2 oz,2,17253
Raspberry Liqueur,1.5 cl,2,17213
Triple sec,1 oz ,2,11433
Gin,30 ml ,2,17066
Lemon juice,3 parts ,2,12758
Campari,1 oz ,2,11003
Vodka,5 oz ,2,14364
Baileys irish cream,1/3 part ,2,14229
Apricot Brandy,4 parts,2,17190
Grenadine,1 tsp ,2,11542
Anis,1 oz ,2,13775
Chocolate liqueur,3/4 oz,2,17246
Absolut Citron,1/2 oz ,2,12752
Lemon,Juice of 1/2 ,2,11129
Vodka,1 fifth Smirnoff red label ,2,17120
Baileys irish cream,3/4 shot ,2,14782
Scotch,1/2 shot,2,178311
Orange juice,,2,13621
Water,6 cups ,2,12808
Rum,1 oz ,2,16995
Orange juice,1 cl ,2,12562
Lime Juice,1 shot,2,178336
Water,2 cups cold ,2,12692
Zima,12 oz ,2,15801
Light rum,1/2 oz ,2,11002
Lemon Juice,0.75 oz,2,178355
Gin,3/4 oz ,2,11326
Gin,1 oz ,2,17208
Sweet Vermouth,1 oz ,2,17840
Lemon juice,3 cl ,2,15841
Banana,1 ,2,12724
Creme de Cacao,3/4 oz white ,2,11959
Amaretto,1/2 oz ,2,11872
Orange juice,2 oz ,2,17839
Amaretto,3/4 oz ,2,15006
Gin,2 cl ,2,12706
Chambord raspberry liqueur,2 oz ,2,14209
Everclear,1 part ,2,15409
Scotch,1 1/2 oz ,2,11121
Vodka,1 shot,2,178360
Sambuca,1/3 shot ,2,13332
Half-and-half,2 oz ,2,16967
Root beer,,2,15691
Southern Comfort,2 cl ,2,13423
Ginger,2 tsp ,2,12862
Johnnie Walker,1/3 oz ,2,13899
Sugar,2 cups white ,2,12800
Sour mix,1 part ,2,14306
Tequila,2/5 ,2,16196
Lemon,1/4 ,2,12720
Orange juice,Add 250 ml ,2,15761
Green Creme de Menthe,1/2 oz ,2,11961
Orgeat Syrup,1 cl,2,178370
Lemon juice,,2,12630
Chocolate,2 oz sweet ,2,12750
Lime Juice,1.5 cl,2,17216
Lemon juice,1-2 tblsp ,2,12726
Grain alcohol,2 parts ,2,12764
Cider,1/2 pint ,2,13128
Dark Rum,1 part,2,17267
Orange juice,15 cl ,2,12618
Melon Liqueur,1 shot,2,178330
Fruit,1 cup ,2,12728
Triple sec,1 tblsp ,2,11064
Lemon,Juice of 1/2 ,2,12370
Blue Curacao,15 ml,2,17245
Lemon juice,3 oz ,2,12452
Schweppes Russchian,,2,15403
Light rum,1/2 oz,2,15300
Kirschwasser,1 oz ,2,15675
Gin,1 1/2 oz ,2,11664
Triple sec,1/2 oz ,2,11120
Green Chartreuse,1 oz,2,17825
Rye whiskey,1 quart ,2,12870
Kahlua,,2,13066
Vodka,1 1/2 oz ,2,11102
Triple sec,1/2 oz ,2,11251
Pina colada mix,frozen ,2,13936
Peach schnapps,1/2 oz ,2,15597
Sugar,1/4 cup ,2,12770
Apple brandy,1/2 oz ,2,11034
151 proof rum,1 oz Bacardi ,2,14642
Jägermeister,1/2 oz ,2,13395
Honey,4 tsp ,2,12722
7-Up,4 oz ,2,13940
Grenadine,2 tsp ,2,17186
Campari,1/4 oz,2,178347
Lemon,Juice of 1/2 ,2,11170
Cinnamon,,2,12780
Sugar,1/4 cup ,2,12914
Honey,1 1/2 cup mild ,2,12854
Añejo rum,1 oz ,2,17832
Sweet Vermouth,1 1/2 oz,2,17256
Wine,1 oz Green Ginger ,2,11052
Iced tea,6 oz ,2,13539
Lime,1/2 ,2,13196
Sugar,2 tsp superfine ,2,17197
Campari,1 1/2 cl ,2,16047
Iced tea,12 oz lemon ,2,14584
Ice,4-6 ,2,12694
Sweet Vermouth,1 oz,2,17251
Vodka,1 jigger ,2,16178
Kool-Aid,1/2 tsp Tropical ,2,17006
Goldschlager,1/2 oz ,2,13222
Milk,1/2 cup ,2,12768
Orange Juice,2 cl,2,178317
Lemonade,1/2 can ,2,15567
Light rum,2 shots ,2,15346
Sweet Vermouth,1 shot ,2,17223
Triple Sec,2 parts,2,17199
Bourbon,2 1/2 oz Blended ,2,11008
Milk,1/2 shot ,2,13328
Orange juice,4 oz ,2,14578
Rum,2 oz ,2,14065
Peach schnapps,1 shot ,2,17141
Prosecco,150 ml,2,178325
Sambuca,1/2 oz ,2,14688
Triple sec,1 oz ,2,11149
Baileys irish cream,1 part ,2,12760
Vodka,1 oz ,2,13202
Lime Juice,2.5 cl,2,17182
Crown Royal,1 part ,2,17122
Lemon juice,1 oz ,2,11417
Gin,1 oz ,2,11022
Sweet Vermouth,1 oz red ,2,15941
Creme de Cassis,1.5 cl,2,17214
Tomato juice,2 oz ,2,11112
Brandy,1 oz ,2,11396
Grapefruit juice,3 oz ,2,11798
Light cream,2 tsp ,2,11634
Tabasco sauce,About 8 drops ,2,14602
Dark Creme de Cacao,1/2 oz ,2,16082
Tequila,1.5 oz ,2,15423
Triple sec,1 1/2 tsp ,2,11222
Grenadine,1 tsp ,2,17230
Ginger beer,4 oz ,2,17831
Creme de Cacao,1/2 oz white ,2,11014
Orange juice,5 oz ,2,12091
Milk,6-8 oz ,2,12736
Grenadine,1 tsp ,2,11938
Baileys irish cream,,3,14466
Peach schnapps,1750 ml ,3,16992
Sugar,1 cube ,3,11416
Cream,3/4 oz double ,3,14842
Banana Liqueur,1 oz,3,178319
Cranberry juice,1 oz ,3,14360
Soda Water,"Top up with
",3,17227
Surge,1/2 glass ,3,16295
Cranberry juice,4 oz ,3,13072
Cumin seed,1/2 tsp ground roasted ,3,12690
Sugar,1 ,3,11145
Light cream,,3,12528
Sugar Syrup,10 ml,3,17239
Lillet Blanc,0.75 cl,3,17218
Orange juice,3-4 oz ,3,16250
White rum,2-3 oz ,3,13206
Gin,1/2 oz ,3,13192
Lime Juice,3/4 oz,3,17249
Sugar,1/2 cup ,3,12698
Bourbon,2 oz ,3,16447
Milk,1 oz ,3,14053
Pomegranate juice,1 shot,3,178328
Coffee,4 tsp ,3,12856
Lemon peel,1 twist of ,3,11604
Sweet Vermouth,1 oz,3,17248
Strawberries,8 oz,3,178352
Sugar syrup,1 cl,3,17210
Orange juice,1/2 oz ,3,17189
Vodka,1/2 oz ,3,11119
Agave Syrup,10 ml,3,17175
White Wine,750 ml,3,178326
Cream,Fill with ,3,16419
Midori melon liqueur,0.5 oz ,3,14564
Soda water,Fill with ,3,14282
Midori melon liqueur,,3,16202
Ruby Port,1 oz,3,178349
Sugar,1 1/3 cup superfine ,3,12796
Pineapple Juice,3.5 cl,3,178368
Cream," pods
",3,12784
Orange juice,1/2 gal ,3,12876
Dry Vermouth,3/4 oz ,3,11084
Powdered sugar,1/2 tsp ,3,11420
Lemon Peel,1 Slice,3,178366
Advocaat,5 ml ,3,13405
Pepsi Cola,750 ml ,3,16041
Ice,cubes,3,14095
Lemonade,,3,11117
Gin,1 oz,3,17254
Wine,1/2 oz Muscatel ,3,11255
Lemon juice,1 oz ,3,12436
Ginger Beer,2 1/2 oz,3,178337
Orange,Juice of 1/4 ,3,17834
Cider,1/2 cup ,3,17168
Heavy cream,1 oz ,3,11422
Triple sec,1 shot ,3,16134
Cranberry juice,1 shot ,3,14087
Ice,Fill with ,3,14372
Sugar," (if needed)
",3,14456
Elderflower cordial,25 ml,3,178354
Honey syrup,2 tsp,3,17829
Elderflower cordial,3 cl,3,178346
Allspice,1 cracked ,3,12794
Vanilla extract,1/2 tsp ,3,12738
Egg,1 whole ,3,12055
Dry Vermouth,1/2 oz ,3,11060
Pineapple juice,1 tblsp ,3,11472
Orange juice,1 part ,3,14482
Ice,,3,17005
Vodka,1 fifth ,3,15849
Rosso Vermouth,15 ml,3,17824
Ginger ale,5 oz ,3,17202
Powdered sugar,,3,11407
Cachaca,2 1/2 oz ,3,11202
Sweet Vermouth,0.75 oz,3,178339
Cherry brandy,,3,15951
Ice,cubes,3,13056
Tequila,2 shots ,3,16991
Salt,1/4 tsp ,3,12107
Orange juice,3 oz ,3,17835
Water,2 cups hot ,3,13024
Lime,Juice of 1/2 ,3,14133
Lillet Blanc,3/4 oz,3,17250
Mint,6 ,3,11390
Powdered sugar,1 tsp ,3,11415
Olive Brine,2 tbsp,3,17181
Strawberry liqueur,1 splash ,3,16108
Milk,full glass ,3,17220
Lemon juice,2 oz sweetened ,3,13204
Sugar Syrup,2 cl,3,178314
Powdered sugar,1 tblsp ,3,11418
Powdered sugar,1 tsp ,3,11410
Pineapple juice,4 parts ,3,12560
Vodka,1 oz,3,17174
Lime juice,1 oz ,3,11118
Champagne,Top up with,3,17224
Sugar,60 gr ,3,12944
Pineapple juice,4 cups ,3,12890
Lemonade,25 ml,3,178356
Triple sec,1/4 tsp ,3,11720
Dry Vermouth,3/4 oz ,3,11339
Lemon juice,2 tsp ,3,11054
Triple sec,1 tsp ,3,11050
Powdered sugar,1 tsp ,3,12057
Sugar,1 tsp superfine ,3,11580
Lemonade,12 oz frozen ,3,13200
Lemon peel,1 twist of ,3,11106
Coffee,1 1/2 oz instant ,3,17044
Bitters,1 dash ,3,11369
Sugar Syrup,3 cl,3,178367
Sugar,1/2 tsp superfine ,3,12093
Orange juice,1 oz ,3,14378
Passion fruit juice,4 cl,3,17176
Cranberry juice,1 part ,3,15224
Angostura Bitters,2 dashes,3,17830
Orange juice,1 cup ,3,13020
Passoa,1 part,3,17268
Ginger,1 chunk dried ,3,12774
Orange juice,Fill with ,3,14598
Strawberries,8-10 ripe ,3,13036
Soda water,,3,12756
Water,3 cups ,3,14956
Sugar,1 cube,3,11001
Fresh Lime Juice,15 ml,3,17242
Peach nectar,1.5 oz ,3,16176
Cocoa powder,,3,12776
Anis,1/4 tsp ,3,12418
Sweet and sour,1 oz ,3,12308
Olive,1 ,3,11005
Lime juice,1 1/2 oz ,3,11387
Coca-Cola,,3,11288
Vodka,3/4 oz ,3,16987
Passion fruit juice,1 cl,3,178357
Cinnamon,1 tsp powdered ,3,12732
Lime,1 ,3,11320
Espresso,1 shot,3,178309
Lime Juice,30 ml,3,178338
Fresh Lime Juice,1 oz,3,178327
151 proof rum,1/2 oz Bacardi ,3,14588
Chambord raspberry liqueur,1/2 oz ,3,15082
Sugar syrup,2 tsp ,3,12654
Lime Juice,1 tblsp,3,178343
Orange juice,,3,15182
Blackcurrant squash,A little bit of ,3,15789
Cranberry juice,,3,12754
Lime juice,1 oz ,3,11600
Bitters,2 dashes ,3,11055
Ginger ale,8 oz ,3,11009
Cointreau,1/4 oz ,3,17196
Godiva liqueur,1/2 cup ,3,17221
Cognac,1/2 shot ,3,17229
Bourbon,1/2 oz ,3,11786
Apple juice,6 parts ,3,15266
Vodka,2 cups ,3,13535
maraschino liqueur,1.5 cl,3,17180
Lemon juice,1 cl ,3,12572
Lemon Juice,2 cl,3,178316
Condensed milk,1 can sweetened ,3,12820
Blackberry brandy,1 1/2 tsp ,3,11021
Gold tequila,1 shot ,3,17074
Sugar,1 tsp superfine ,3,11164
Lemon juice,1/4 tsp ,3,17185
Light cream,1 tblsp ,3,11239
Water,1/2 glass cold ,3,15825
Orange bitters,2 dashes ,3,11662
Ginger Beer,10 cl,3,178315
Grenadine,3/4 oz ,3,12362
Ice,cubes,3,14594
Yellow Chartreuse,1/2 oz ,3,11566
Cranberry Juice,1 oz,3,178318
Cream of coconut,1/4 cup ,3,16158
Sugar,4 tblsp ,3,12696
Mint,2 Fresh leaves,3,17187
Orange juice,Fill with ,3,14272
Powdered sugar,1 tsp ,3,17206
Grapefruit juice,1 oz ,3,13377
Mint,8,3,178333
Ice,cubes,3,16405
Ginger ale,2 oz ,3,15024
Red Chili Flakes,1,3,178313
Vodka,,3,17105
Condensed milk,13 oz skimmed ,3,12916
Benedictine,1 1/2 tsp ,3,11991
Lemon juice,1 oz ,3,11146
Vanilla extract,1/2 tsp ,3,12746
Wild Turkey,1 oz ,3,16985
Cream,,3,14510
Pineapple Juice,Top,3,178320
Egg White,1 shot,3,178329
Ice,,3,17167
Cardamom,4-5 whole green ,3,12782
Lemon,1 lb ,3,12702
Lime Juice,Juice of 1,3,178348
Sugar,2 1/2 cups ,3,12798
Baileys irish cream,,3,13807
Lime,1 ,3,11403
Lime juice,1 tblsp ,3,17836
Gin,2 oz ,3,11419
Maraschino liqueur,1/4 tsp ,3,12420
Grenadine,1/2 tsp ,3,12186
Sugar,2 tblsp ,3,12670
Orange Juice,90 ml,3,178340
Lemon Juice,1/4 Shot,3,17222
Tabasco sauce,1 dash ,3,13070
White Creme de Menthe,2 cl ,3,15328
Orange juice,6 oz frozen ,3,13042
Tequila,1 oz ,3,16984
Lemon juice,1/2 tsp ,3,11011
Brandy,1/2 oz ,3,12450
Lemon,Juice of 1/4 ,3,12198
Sugar,1 tsp ,3,13971
Lemon,Juice of 1/4 ,3,11983
Amaretto,15 ml,3,17233
Amaretto,4 oz ,3,15515
Blue Curacao,1 oz ,3,16485
Cinnamon,1,3,178345
Cornstarch,7 tsp ,3,12730
Maraschino liqueur,1 tsp ,3,11224
Southern Comfort,1 part ,3,15178
Amaretto,1/2 oz ,3,15639
Orange juice,4 oz frozen ,3,12674
Maraschino Liqueur,1/4 oz,3,178310
Angostura Bitters,3 drops,3,178369
Orange juice,1 oz ,3,15330
Triple sec,3/4 oz ,3,11128
Lemon juice,1 dash ,3,11113
Lime Juice,1/2 cup,3,178312
Heavy cream,1/2 oz ,3,11766
Orange juice,1 oz ,3,11528
Blue Curacao,1 cl ,3,14071
Orange bitters,2 dashes ,3,12434
Lemon Juice,Top,3,178341
Coffee,,3,16262
Orange juice,4 oz ,3,11870
Lime Juice,1 oz,3,17247
Apricot,2 ,3,12792
Lemon Peel,1 Slice,3,178363
Water,,3,12734
Lemon Juice,2cl,3,17194
Lime,2 wedges ,3,16986
Lemon Peel,1 Slice,3,178365
Egg Yolk,2 parts,3,17192
Lemon,Juice of 1 wedge ,3,14366
Orange juice,1 oz ,3,12388
Rum,20 cl,3,178322
Lemon,Juice of 1/2 ,3,11242
Ice,cubes,3,15933
Bitters,2 dashes ,3,11227
Tequila,2 oz ,3,16100
Dry Vermouth,,3,11666
Heavy cream,1/2 shot ,3,17225
Sprite,1/2 oz ,3,14107
Vodka,1 1/2 oz,3,178359
Chocolate ice-cream,5 oz ,3,11243
Light rum,1/2 oz ,3,17204
Orange peel,3 2-inch strips ,3,12748
Lime,Juice of 1 ,3,11010
Pineapple juice,1 shot ,3,15226
Sherbet,,3,12954
Triple sec,1/2 oz ,3,17002
Tonic water,4 oz ,3,13938
Orange juice,4 oz ,3,15200
Peachtree schnapps,1/2 oz ,3,16998
Vanilla extract,1 tsp ,3,16275
Sugar Syrup,1/2 oz,3,17255
Sugar,1-2 tblsp ,3,13214
Sugar syrup,1 dash,3,17212
Sugar syrup,1 tsp,3,17178
Lemon-lime soda,,3,11989
Lemon,1 ,3,12071
Tequila,1 part ,3,16333
Kahlua,1/4 ,3,15853
Sloe gin,1/2 oz ,3,11012
Orange juice,1 cup ,3,13058
Vodka,1 1/2 cup ,3,16273
Maraschino Liqueur,3 parts,3,17201
Triple sec,1/2 oz ,3,12322
Mint syrup,,3,12688
Lemon Peel,1 Slice,3,178364
Light cream,2 oz ,3,11024
Cinnamon,3 dashes ,3,16958
Sloe gin,1 shot ,3,13190
Southern Comfort,1 shot ,3,17094
Club soda,,3,11027
Orange juice,2 parts ,3,17191
Lemon juice,1 tsp ,3,11470
Lemon juice,1 oz ,3,11046
Milk,1 part ,3,13861
Orange juice,4 oz ,3,14586
Grenadine,,3,15184
Lime Juice,1 oz,3,178371
Sweet and sour,1/3 oz ,3,16354
Cachaca,2 1/2 oz,3,17177
Triple sec,1 oz ,3,17184
Egg white,1 ,3,11023
Orange juice,4 oz ,3,11462
Whipped cream,Chilled ,3,11029
Cranberry Juice,4 oz,3,17826
Sugar,1 tsp superfine ,3,12402
Cloves,12 ,3,12988
White Wine,15 cl,3,178321
Yellow Chartreuse,3/4 oz ,3,11013
Soda water," (seltzer water)
",3,12704
Pineapple juice,1 oz ,3,11020
Orange juice,1/3 part ,3,14622
Kahlua,1/2 oz ,3,13625
Sugar,By taste ,3,15521
Lemonade,6 oz frozen ,3,12864
Bitters,2 dashes ,3,11124
Blue Curacao,1/2 oz ,3,13086
Soda water,6 oz ,3,12668
Ice,cubes,3,17118
Ice,cubes,3,14374
Anise,50 ml pure ,3,12790
Vodka,1/2 oz ,3,14560
Baileys irish cream,1 part ,3,13198
Sweet Vermouth,3/4 oz ,3,11338
Pineapple Juice,6 cl,3,17209
Baileys irish cream,1 oz ,3,13499
Rumple Minze,1/2 oz ,3,17060
Coca-Cola,1 dash ,3,17015
Gin,1 oz ,3,12214
Milk,2 cups ,3,12910
Cognac,1 shot,3,178353
Soda Water,Top,3,178335
Pineapple juice,1 part ,3,15092
Pineapple juice,1 tblsp ,3,11019
Lemon peel,1 twist of ,3,12097
Grenadine,2 splashes ,3,17114
Triple sec,1/2 oz ,3,14181
Blueberries,Garnish with,3,178331
Lime juice,1 tblsp ,3,11391
151 proof rum,1 oz,3,17241
Maraschino liqueur,1/2 tsp ,3,17188
Yoghurt,1 cup plain ,3,12656
Frangelico,1 1/2 ,3,13162
Triple Sec,1.5 cl,3,17219
Vanilla ice-cream,2 scoops ,3,15511
Ice,cubes,3,14752
Lime juice,1 oz ,3,12316
Soda water,Fill with ,3,16942
Sugar,2 tsp ,3,11000
Brown sugar,1/2 cup ,3,13032
Figs,3,3,178344
Curacao,4 dashes ,3,12138
Blue Curacao,1 shot ,3,13497
Orange bitters,1 dash ,3,17838
Amaretto,2 oz ,3,15194
Grenadine,1 tsp ,3,17837
Fruit punch,355 ml frozen ,3,14978
Lemon juice,1 oz ,3,12196
Sugar,1/2 tsp superfine ,3,11408
Light cream,1 oz ,3,12130
Creme de Cassis,1 shot ,3,17226
Apple juice,2 cups fresh ,3,12658
Passion fruit juice,Full Glass,3,178323
Orange Juice,3 cl,3,17217
Cognac,1/3 ,3,13501
Mint,Sprig,3,178358
Salt,1 dash ,3,12744
Coca-Cola,Fill with ,3,13751
Vodka,1 1/2 shot,3,178362
Lime,Juice of 1 ,3,11205
Condensed milk,2 tsp sweetened ,3,12786
Chocolate ice-cream,2 scoops ,3,15615
Light cream,1 oz ,3,11016
Lemon,1 large ,3,13026
Olive,1 ,3,14167
Lime,1/4,3,178342
Olive,1 ,3,11728
Lime juice,1 oz ,3,11007
Lemon,1 ,3,11157
Powdered sugar,1 tsp ,3,12087
Pineapple,1/2 ,3,12712
Apple juice,1 cl ,3,15106
Light rum,1/2 L ,3,12802
Sambuca,1/3 oz ,3,14538
Orange juice,3 oz ,3,16943
Triple sec,1/2 oz ,3,11690
Pineapple juice,1 tblsp ,3,12474
Sugar syrup,1/2 tsp ,3,17183
Coffee,,3,16951
