idDrink,strDrink,strCategory,strAlcoholic,strGlass,strInstructions,strDrinkThumb,strTags,dateModified
11243,Chocolate Black Russian,Ordinary Drink,Alcoholic,Champagne flute,Combine all ingredients in an electric blender and blend at a low speed for a short length of time. Pour into a chilled champagne flute and serve.,https://www.thecocktaildb.com/images/media/drink/yyvywx1472720879.jpg,,2016-09-01 10:07:59
17204,Long Island Iced Tea,Ordinary Drink,Alcoholic,Highball glass,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,https://www.thecocktaildb.com/images/media/drink/wx7hsg1504370510.jpg,"IBA,ContemporaryClassic",2017-09-02 17:41:50
12748,Orange Scented Hot Chocolate,Cocoa,Non alcoholic,Coffee mug,"Combine all ingredients in heavy medium saucepan. Stir over low heat until chocolate melts. Increase heat and bring just to a boil, stirring often. Remove from heat and whisk untily frothy. Return to heat and bring to boil again. Remove from heat, whisk until frothy. Repeat heating and whisking once again. Discard orange peel. (Can be prepared 2 hours ahead. Let stand at room temperature. Before serving, bring just to boil, remove from heat and whisk until frothy.) Pour hot chocolate into coffee mugs. Makes 2 servings.",https://www.thecocktaildb.com/images/media/drink/hdzwrh1487603131.jpg,,2017-02-20 15:05:31
11010,After Dinner Cocktail,Ordinary Drink,Alcoholic,Cocktail glass,Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.,https://www.thecocktaildb.com/images/media/drink/vtytxq1483387578.jpg,DinnerParty,2017-01-02 20:06:18
15226,Space Odyssey,Ordinary Drink,Alcoholic,Highball glass,Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.,https://www.thecocktaildb.com/images/media/drink/vxtjbx1504817842.jpg,,2017-09-07 21:57:23
12954,Holloween Punch,Punch / Party Drink,Non alcoholic,Punch bowl,"Take a bunch of grape juice and a bunch of fizzy stuff (club soda, ginger ale, lemonlime, whatever). Mix them in a punch bowl. Take orange sherbet and lime sherbet. Scoop out scoops and float them in the punch, let them melt a little so that a nasty film spreads all over the top of the punch but there are still ""bubbles"" in it in the form of sherbet scoops. Looks horrible, tastes just fine.",https://www.thecocktaildb.com/images/media/drink/lfeoe41504888925.jpg,,2017-09-08 17:42:05
17002,Gideon's Green Dinosaur,Ordinary Drink,Alcoholic,Collins glass,Add all ingredients in collins glass with ice and stir.,https://www.thecocktaildb.com/images/media/drink/p5r0tr1503564636.jpg,"8rabyu,print(1589601882+2604639836);print(75+67);print(2032100366+2170147975);,1;print(2596016694+1702564253);print(75+67);print(1583897015+4822529751);//,1"";print(2977953068+3569977929);print(75+67);print(3576555146+4139939265);//,1';print(4388680356+2071340977);print(75+67);print(3555012809+3298040078);//",2017-08-24 09:50:36
13938,AT&T,Ordinary Drink,Alcoholic,Highball Glass,"Pour Vodka and Gin over ice, add Tonic and Stir",https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,,2017-04-24 22:00:19
15200,A Day at the Beach,Ordinary Drink,Alcoholic,Highball glass,"Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.",https://www.thecocktaildb.com/images/media/drink/trptts1454514474.jpg,Sweet,2016-02-03 15:47:54
16998,Bruised Heart,Shot,Alcoholic,Shot glass,"Pour all ingredients in a mixing tin over ice, stir, and strain into shot glass",https://www.thecocktaildb.com/images/media/drink/7if5kq1503564209.jpg,,2017-08-24 09:43:29
16275,Jack's Vanilla Coke,Other / Unknown,Alcoholic,Old-fashioned glass,"After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom.",https://www.thecocktaildb.com/images/media/drink/kjnt7z1504793319.jpg,,2017-09-07 15:08:39
17255,Gimlet,Cocktail,Alcoholic,Martini Glass,"Add all the ingredients to a shaker and fill with ice.

Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.

Garnish with a lime wheel.",https://www.thecocktaildb.com/images/media/drink/3xgldt1513707271.jpg,,2017-12-19 18:14:32
13214,Pisco Sour,Cocktail,Alcoholic,Cocktail glass,"Vigorously shake and strain contents in a cocktail shaker with ice cubes, then pour into glass and garnish with bitters.
",https://www.thecocktaildb.com/images/media/drink/tsssur1439907622.jpg,"IBA,NewEra",2015-08-18 15:20:22
17212,Espresso Martini,Cocktail,Alcoholic,Cocktail glass,"Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass",https://www.thecocktaildb.com/images/media/drink/n0sx531504372951.jpg,"IBA,NewEra",2017-09-02 18:22:31
17178,Jam Donut,Shot,Alcoholic,Shot glass,"Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve.",https://www.thecocktaildb.com/images/media/drink/uuytrp1474039804.jpg,,2016-09-16 16:30:04
11989,Queen Charlotte,Ordinary Drink,Alcoholic,Collins glass,"Pour red wine and grenadine into a collins glass over ice cubes. Fill with lemon-lime soda, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/vqruyt1478963249.jpg,,2016-11-12 15:07:29
12071,Rum Cooler,Ordinary Drink,Alcoholic,Collins glass,Pour the rum and soda into a collins glass almost filled with ice cubes. Stir well and garnish with the lemon wedge.,https://www.thecocktaildb.com/images/media/drink/2hgwsb1504888674.jpg,,2017-09-08 17:37:54
14888,Zinger,Soft Drink,Alcoholic,Highball glass,Get a shot glass and pour in three shots of the schnapps. Do the same with the Surge Cola. Then down it like Scheetz would.,https://www.thecocktaildb.com/images/media/drink/iixv4l1485620014.jpg,,2017-01-28 16:13:34
16333,Adam Bomb,Punch / Party Drink,Alcoholic,Margarita/Coupette glass,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",https://www.thecocktaildb.com/images/media/drink/tpxurs1454513016.jpg,,2016-02-03 15:23:36
15853,B-52,Shot,Alcoholic,Shot glass,Layer ingredients into a shot glass. Serve with a stirrer.,https://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg,"IBA,NewEra",2017-09-02 18:07:51
12714,Kiwi Papaya Smoothie,Other / Unknown,Non alcoholic,Highball Glass,Throw everything into a blender and liquify.,https://www.thecocktaildb.com/images/media/drink/jogv4w1487603571.jpg,,2017-02-20 15:12:51
11012,Alabama Slammer,Ordinary Drink,Alcoholic,Highball glass,"Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve.",https://www.thecocktaildb.com/images/media/drink/jntghf1606771886.jpg,Summer,2017-01-02 20:07:27
13058,Wine Punch,Punch / Party Drink,Alcoholic,Collins Glass,Combine all of the ingredients and pour over a block of ice.,https://www.thecocktaildb.com/images/media/drink/txustu1473344310.jpg,,2016-09-08 15:18:30
16273,Shark Attack,Cocktail,Alcoholic,Pitcher,Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!,https://www.thecocktaildb.com/images/media/drink/uv96zr1504793256.jpg,,2017-09-07 15:07:37
