Entity,Code,Year,Leading cancer types causing death in males
Armenia,ARM,1990,Trachea and bronchus and lung
Armenia,ARM,1991,Trachea and bronchus and lung
Armenia,ARM,1992,Trachea and bronchus and lung
Armenia,ARM,1993,Trachea and bronchus and lung
Armenia,ARM,1994,Trachea and bronchus and lung
Armenia,ARM,1995,Trachea and bronchus and lung
Armenia,ARM,1996,Other malignant neoplasms
Armenia,ARM,1997,Trachea and bronchus and lung
Armenia,ARM,1998,Trachea and bronchus and lung
Armenia,ARM,1999,Other malignant neoplasms
Armenia,ARM,2000,Trachea and bronchus and lung
Armenia,ARM,2001,Trachea and bronchus and lung
Armenia,ARM,2002,Other malignant neoplasms
Armenia,ARM,2003,Other malignant neoplasms
Armenia,ARM,2006,Trachea and bronchus and lung
Armenia,ARM,2007,Trachea and bronchus and lung
Armenia,ARM,2008,Trachea and bronchus and lung
Armenia,ARM,2009,Trachea and bronchus and lung
Armenia,ARM,2010,Trachea and bronchus and lung
Armenia,ARM,2011,Trachea and bronchus and lung
Armenia,ARM,2012,Trachea and bronchus and lung
Armenia,ARM,2013,Trachea and bronchus and lung
Armenia,ARM,2014,Trachea and bronchus and lung
Armenia,ARM,2015,Trachea and bronchus and lung
Armenia,ARM,2016,Trachea and bronchus and lung
Armenia,ARM,2017,Trachea and bronchus and lung
Armenia,ARM,2018,Trachea and bronchus and lung
Armenia,ARM,2019,Trachea and bronchus and lung
Armenia,ARM,2020,Trachea and bronchus and lung
Armenia,ARM,2021,Trachea and bronchus and lung
Armenia,ARM,2022,Trachea and bronchus and lung
Australia,AUS,1950,Stomach
Australia,AUS,1951,Other malignant neoplasms
Australia,AUS,1952,Other malignant neoplasms
Australia,AUS,1953,Other malignant neoplasms
Australia,AUS,1954,Other malignant neoplasms
Australia,AUS,1955,Other malignant neoplasms
Australia,AUS,1956,Other malignant neoplasms
Australia,AUS,1957,Other malignant neoplasms
Australia,AUS,1958,Other malignant neoplasms
Australia,AUS,1959,Other malignant neoplasms
Australia,AUS,1960,Other malignant neoplasms
Australia,AUS,1961,Other malignant neoplasms
Australia,AUS,1962,Other malignant neoplasms
Australia,AUS,1963,Other malignant neoplasms
Australia,AUS,1964,Trachea and bronchus and lung
Australia,AUS,1965,Trachea and bronchus and lung
Australia,AUS,1966,Trachea and bronchus and lung
Australia,AUS,1967,Trachea and bronchus and lung
Australia,AUS,1968,Trachea and bronchus and lung
Australia,AUS,1969,Trachea and bronchus and lung
Australia,AUS,1970,Trachea and bronchus and lung
Australia,AUS,1971,Trachea and bronchus and lung
Australia,AUS,1972,Trachea and bronchus and lung
Australia,AUS,1973,Trachea and bronchus and lung
Australia,AUS,1974,Trachea and bronchus and lung
Australia,AUS,1975,Trachea and bronchus and lung
Australia,AUS,1976,Trachea and bronchus and lung
Australia,AUS,1977,Trachea and bronchus and lung
Australia,AUS,1978,Trachea and bronchus and lung
Australia,AUS,1979,Trachea and bronchus and lung
Australia,AUS,1980,Trachea and bronchus and lung
Australia,AUS,1981,Trachea and bronchus and lung
Australia,AUS,1982,Trachea and bronchus and lung
Australia,AUS,1983,Trachea and bronchus and lung
Australia,AUS,1984,Trachea and bronchus and lung
Australia,AUS,1985,Trachea and bronchus and lung
Australia,AUS,1986,Trachea and bronchus and lung
Australia,AUS,1987,Trachea and bronchus and lung
Australia,AUS,1988,Trachea and bronchus and lung
