Entity,Code,Year,Leading cancer types causing death in males
Denmark,DNK,2020,Trachea and bronchus and lung
Denmark,DNK,2021,Trachea and bronchus and lung
Dominican Republic,DOM,1965,Other malignant neoplasms
Dominican Republic,DOM,1966,Other malignant neoplasms
Dominican Republic,DOM,1967,Other malignant neoplasms
Dominican Republic,DOM,1968,Other malignant neoplasms
Dominican Republic,DOM,1969,Other malignant neoplasms
Dominican Republic,DOM,1970,Other malignant neoplasms
Dominican Republic,DOM,1971,Other malignant neoplasms
Dominican Republic,DOM,1972,Other malignant neoplasms
Dominican Republic,DOM,1973,Other malignant neoplasms
Dominican Republic,DOM,1974,Other malignant neoplasms
Dominican Republic,DOM,1975,Other malignant neoplasms
Dominican Republic,DOM,1976,Other malignant neoplasms
Dominican Republic,DOM,1977,Other malignant neoplasms
Dominican Republic,DOM,1978,Other malignant neoplasms
Dominican Republic,DOM,1979,Other malignant neoplasms
Dominican Republic,DOM,1980,Other malignant neoplasms
Dominican Republic,DOM,1981,Prostate
Dominican Republic,DOM,1982,Prostate
Dominican Republic,DOM,1983,Prostate
Dominican Republic,DOM,1984,Prostate
Dominican Republic,DOM,1985,Prostate
Dominican Republic,DOM,1986,Prostate
Dominican Republic,DOM,1987,Prostate
Dominican Republic,DOM,1988,Prostate
Dominican Republic,DOM,1989,Prostate
Dominican Republic,DOM,1990,Prostate
Dominican Republic,DOM,1991,Prostate
Dominican Republic,DOM,1992,Prostate
Dominican Republic,DOM,1994,Prostate
Dominican Republic,DOM,1995,Prostate
Dominican Republic,DOM,1996,Prostate
Dominican Republic,DOM,1997,Prostate
Dominican Republic,DOM,1998,Prostate
Dominican Republic,DOM,1999,Prostate
Dominican Republic,DOM,2000,Prostate
Dominican Republic,DOM,2001,Prostate
Dominican Republic,DOM,2002,Prostate
Dominican Republic,DOM,2003,Prostate
Dominican Republic,DOM,2004,Prostate
Dominican Republic,DOM,2005,Prostate
Dominican Republic,DOM,2006,Prostate
Dominican Republic,DOM,2007,Prostate
Dominican Republic,DOM,2008,Prostate
Dominican Republic,DOM,2009,Prostate
Dominican Republic,DOM,2010,Prostate
Dominican Republic,DOM,2011,Prostate
Dominican Republic,DOM,2012,Prostate
Dominican Republic,DOM,2013,Prostate
Dominican Republic,DOM,2014,Prostate
Dominican Republic,DOM,2015,Prostate
Dominican Republic,DOM,2016,Prostate
Dominican Republic,DOM,2017,Prostate
Dominican Republic,DOM,2018,Prostate
Ecuador,ECU,1966,Other malignant neoplasms
Ecuador,ECU,1967,Stomach
Ecuador,ECU,1968,Stomach
Ecuador,ECU,1969,Stomach
Ecuador,ECU,1970,Stomach
Ecuador,ECU,1971,Stomach
Ecuador,ECU,1972,Stomach
Ecuador,ECU,1973,Stomach
Ecuador,ECU,1974,Stomach
Ecuador,ECU,1975,Stomach
Ecuador,ECU,1977,Stomach
Ecuador,ECU,1978,Stomach
Ecuador,ECU,1979,Stomach
Ecuador,ECU,1980,Stomach
Ecuador,ECU,1981,Stomach
Ecuador,ECU,1982,Stomach
Ecuador,ECU,1983,Stomach
Ecuador,ECU,1984,Stomach
Ecuador,ECU,1985,Stomach
Ecuador,ECU,1986,Stomach
Ecuador,ECU,1987,Stomach
Ecuador,ECU,1988,Stomach
Ecuador,ECU,1989,Stomach
Ecuador,ECU,1990,Stomach
Ecuador,ECU,1991,Stomach
Ecuador,ECU,1992,Stomach
Ecuador,ECU,1993,Stomach
Ecuador,ECU,1994,Stomach
Ecuador,ECU,1995,Stomach
Ecuador,ECU,1996,Stomach
Ecuador,ECU,1997,Stomach
Ecuador,ECU,1998,Stomach
Ecuador,ECU,1999,Stomach
Ecuador,ECU,2000,Stomach
Ecuador,ECU,2001,Stomach
Ecuador,ECU,2002,Stomach
Ecuador,ECU,2003,Stomach
Ecuador,ECU,2004,Stomach
Ecuador,ECU,2005,Stomach
Ecuador,ECU,2006,Stomach
Ecuador,ECU,2007,Stomach
Ecuador,ECU,2008,Stomach
Ecuador,ECU,2009,Stomach
Ecuador,ECU,2010,Prostate
Ecuador,ECU,2011,Stomach
Ecuador,ECU,2012,Stomach
Ecuador,ECU,2013,Stomach
Ecuador,ECU,2014,Stomach
Ecuador,ECU,2015,Prostate
Ecuador,ECU,2016,Stomach
Ecuador,ECU,2017,Stomach
Ecuador,ECU,2018,Prostate
Ecuador,ECU,2019,Prostate
Ecuador,ECU,2020,Prostate
Ecuador,ECU,2021,Prostate
Egypt,EGY,1965,Other malignant neoplasms
Egypt,EGY,1966,Other malignant neoplasms
Egypt,EGY,1967,Other malignant neoplasms
Egypt,EGY,1970,Other malignant neoplasms
Egypt,EGY,1971,Other malignant neoplasms
Egypt,EGY,1972,Other malignant neoplasms
Egypt,EGY,1973,Other malignant neoplasms
Egypt,EGY,1974,Other malignant neoplasms
Egypt,EGY,1975,Other malignant neoplasms
Egypt,EGY,1976,Other malignant neoplasms
Egypt,EGY,1977,Other malignant neoplasms
Egypt,EGY,1978,Other malignant neoplasms
Egypt,EGY,1979,Other malignant neoplasms
Egypt,EGY,1980,Bladder
Egypt,EGY,1987,Bladder
Egypt,EGY,1991,Bladder
Egypt,EGY,1992,Bladder
Egypt,EGY,2000,Liver
Egypt,EGY,2001,Liver
Egypt,EGY,2002,Liver
Egypt,EGY,2003,Liver
Egypt,EGY,2004,Liver
Egypt,EGY,2005,Liver
Egypt,EGY,2006,Liver
Egypt,EGY,2007,Liver
Egypt,EGY,2008,Liver
Egypt,EGY,2009,Liver
Egypt,EGY,2010,Liver
Egypt,EGY,2011,Liver
Egypt,EGY,2012,Liver
Egypt,EGY,2013,Liver
Egypt,EGY,2014,Liver
Egypt,EGY,2015,Liver
Egypt,EGY,2016,Liver
Egypt,EGY,2017,Liver
Egypt,EGY,2018,Liver
Egypt,EGY,2019,Liver
El Salvador,SLV,1990,Stomach
El Salvador,SLV,1991,Stomach
El Salvador,SLV,1992,Other malignant neoplasms
El Salvador,SLV,1993,Other malignant neoplasms
El Salvador,SLV,1995,Other malignant neoplasms
El Salvador,SLV,1996,Other malignant neoplasms
El Salvador,SLV,1997,Ill-defined malignant neoplasms
El Salvador,SLV,1998,Ill-defined malignant neoplasms
El Salvador,SLV,1999,Ill-defined malignant neoplasms
El Salvador,SLV,2000,Stomach
El Salvador,SLV,2001,Stomach
El Salvador,SLV,2002,Stomach
El Salvador,SLV,2003,Ill-defined malignant neoplasms
El Salvador,SLV,2004,Stomach
El Salvador,SLV,2005,Stomach
El Salvador,SLV,2006,Ill-defined malignant neoplasms
El Salvador,SLV,2007,Ill-defined malignant neoplasms
El Salvador,SLV,2008,Ill-defined malignant neoplasms
El Salvador,SLV,2009,Ill-defined malignant neoplasms
El Salvador,SLV,2010,Ill-defined malignant neoplasms
El Salvador,SLV,2011,Ill-defined malignant neoplasms
El Salvador,SLV,2012,Prostate
El Salvador,SLV,2013,Stomach
El Salvador,SLV,2014,Stomach
El Salvador,SLV,2015,Stomach
El Salvador,SLV,2016,Stomach
El Salvador,SLV,2017,Stomach
El Salvador,SLV,2018,Stomach
Estonia,EST,1981,Trachea and bronchus and lung
Estonia,EST,1982,Trachea and bronchus and lung
Estonia,EST,1985,Trachea and bronchus and lung
Estonia,EST,1986,Trachea and bronchus and lung
Estonia,EST,1987,Trachea and bronchus and lung
Estonia,EST,1988,Trachea and bronchus and lung
Estonia,EST,1989,Trachea and bronchus and lung
Estonia,EST,1990,Trachea and bronchus and lung
Estonia,EST,1991,Trachea and bronchus and lung
Estonia,EST,1992,Trachea and bronchus and lung
Estonia,EST,1993,Trachea and bronchus and lung
Estonia,EST,1994,Trachea and bronchus and lung
Estonia,EST,1995,Trachea and bronchus and lung
Estonia,EST,1996,Trachea and bronchus and lung
Estonia,EST,1997,Trachea and bronchus and lung
Estonia,EST,1998,Trachea and bronchus and lung
Estonia,EST,1999,Trachea and bronchus and lung
Estonia,EST,2000,Trachea and bronchus and lung
Estonia,EST,2001,Trachea and bronchus and lung
Estonia,EST,2002,Trachea and bronchus and lung
Estonia,EST,2003,Trachea and bronchus and lung
Estonia,EST,2004,Trachea and bronchus and lung
Estonia,EST,2005,Trachea and bronchus and lung
Estonia,EST,2006,Trachea and bronchus and lung
Estonia,EST,2007,Trachea and bronchus and lung
Estonia,EST,2008,Trachea and bronchus and lung
Estonia,EST,2009,Trachea and bronchus and lung
Estonia,EST,2010,Trachea and bronchus and lung
Estonia,EST,2011,Trachea and bronchus and lung
Estonia,EST,2012,Trachea and bronchus and lung
Estonia,EST,2013,Trachea and bronchus and lung
Estonia,EST,2014,Trachea and bronchus and lung
Estonia,EST,2015,Trachea and bronchus and lung
Estonia,EST,2016,Trachea and bronchus and lung
Estonia,EST,2017,Trachea and bronchus and lung
Estonia,EST,2018,Trachea and bronchus and lung
Estonia,EST,2019,Trachea and bronchus and lung
Estonia,EST,2020,Trachea and bronchus and lung
Estonia,EST,2021,Trachea and bronchus and lung
Estonia,EST,2022,Trachea and bronchus and lung
Fiji,FJI,1978,Other malignant neoplasms
Fiji,FJI,2001,Liver
Fiji,FJI,2002,Prostate
Fiji,FJI,2003,Prostate
Fiji,FJI,2004,Liver
Fiji,FJI,2005,Prostate
Fiji,FJI,2006,Prostate
Fiji,FJI,2007,Prostate
Fiji,FJI,2008,Prostate
Fiji,FJI,2009,Prostate
Fiji,FJI,2011,Prostate
Fiji,FJI,2012,Prostate
Finland,FIN,1952,Stomach
Finland,FIN,1953,Stomach
Finland,FIN,1954,Stomach
Finland,FIN,1955,Stomach
Finland,FIN,1956,Stomach
Finland,FIN,1957,Stomach
Finland,FIN,1958,Stomach
Finland,FIN,1959,Trachea and bronchus and lung
Finland,FIN,1960,Trachea and bronchus and lung
Finland,FIN,1961,Trachea and bronchus and lung
Finland,FIN,1962,Trachea and bronchus and lung
Finland,FIN,1963,Trachea and bronchus and lung
Finland,FIN,1964,Trachea and bronchus and lung
Finland,FIN,1965,Trachea and bronchus and lung
Finland,FIN,1966,Trachea and bronchus and lung
Finland,FIN,1967,Trachea and bronchus and lung
Finland,FIN,1968,Trachea and bronchus and lung
Finland,FIN,1969,Trachea and bronchus and lung
Finland,FIN,1970,Trachea and bronchus and lung
Finland,FIN,1971,Trachea and bronchus and lung
Finland,FIN,1972,Trachea and bronchus and lung
Finland,FIN,1973,Trachea and bronchus and lung
Finland,FIN,1974,Trachea and bronchus and lung
Finland,FIN,1975,Trachea and bronchus and lung
Finland,FIN,1976,Trachea and bronchus and lung
Finland,FIN,1977,Trachea and bronchus and lung
Finland,FIN,1978,Trachea and bronchus and lung
Finland,FIN,1979,Trachea and bronchus and lung
Finland,FIN,1980,Trachea and bronchus and lung
Finland,FIN,1981,Trachea and bronchus and lung
Finland,FIN,1982,Trachea and bronchus and lung
Finland,FIN,1983,Trachea and bronchus and lung
Finland,FIN,1984,Trachea and bronchus and lung
Finland,FIN,1985,Trachea and bronchus and lung
Finland,FIN,1986,Trachea and bronchus and lung
Finland,FIN,1987,Trachea and bronchus and lung
Finland,FIN,1988,Trachea and bronchus and lung
Finland,FIN,1989,Trachea and bronchus and lung
Finland,FIN,1990,Trachea and bronchus and lung
Finland,FIN,1991,Trachea and bronchus and lung
Finland,FIN,1992,Trachea and bronchus and lung
Finland,FIN,1993,Trachea and bronchus and lung
Finland,FIN,1994,Trachea and bronchus and lung
Finland,FIN,1995,Trachea and bronchus and lung
Finland,FIN,1996,Trachea and bronchus and lung
Finland,FIN,1997,Trachea and bronchus and lung
Finland,FIN,1998,Trachea and bronchus and lung
Finland,FIN,1999,Trachea and bronchus and lung
Finland,FIN,2000,Trachea and bronchus and lung
Finland,FIN,2001,Trachea and bronchus and lung
Finland,FIN,2002,Trachea and bronchus and lung
Finland,FIN,2003,Trachea and bronchus and lung
Finland,FIN,2004,Trachea and bronchus and lung
Finland,FIN,2005,Trachea and bronchus and lung
Finland,FIN,2006,Trachea and bronchus and lung
Finland,FIN,2007,Trachea and bronchus and lung
Finland,FIN,2008,Trachea and bronchus and lung
Finland,FIN,2009,Trachea and bronchus and lung
Finland,FIN,2010,Trachea and bronchus and lung
Finland,FIN,2011,Trachea and bronchus and lung
Finland,FIN,2012,Trachea and bronchus and lung
Finland,FIN,2013,Trachea and bronchus and lung
Finland,FIN,2014,Trachea and bronchus and lung
Finland,FIN,2015,Trachea and bronchus and lung
Finland,FIN,2016,Trachea and bronchus and lung
Finland,FIN,2017,Trachea and bronchus and lung
Finland,FIN,2018,Trachea and bronchus and lung
Finland,FIN,2019,Trachea and bronchus and lung
Finland,FIN,2020,Trachea and bronchus and lung
Finland,FIN,2021,Trachea and bronchus and lung
France,FRA,1950,Other malignant neoplasms
France,FRA,1951,Other malignant neoplasms
France,FRA,1952,Other malignant neoplasms
France,FRA,1953,Other malignant neoplasms
France,FRA,1954,Other malignant neoplasms
France,FRA,1955,Other malignant neoplasms
France,FRA,1956,Other malignant neoplasms
France,FRA,1957,Other malignant neoplasms
France,FRA,1958,Other malignant neoplasms
France,FRA,1959,Other malignant neoplasms
France,FRA,1960,Other malignant neoplasms
France,FRA,1961,Other malignant neoplasms
France,FRA,1962,Other malignant neoplasms
France,FRA,1963,Other malignant neoplasms
France,FRA,1964,Other malignant neoplasms
France,FRA,1965,Other malignant neoplasms
France,FRA,1966,Other malignant neoplasms
France,FRA,1967,Other malignant neoplasms
France,FRA,1968,Other malignant neoplasms
France,FRA,1969,Other malignant neoplasms
France,FRA,1970,Other malignant neoplasms
France,FRA,1971,Other malignant neoplasms
France,FRA,1972,Other malignant neoplasms
France,FRA,1973,Other malignant neoplasms
France,FRA,1974,Other malignant neoplasms
France,FRA,1975,Other malignant neoplasms
France,FRA,1976,Other malignant neoplasms
France,FRA,1977,Other malignant neoplasms
France,FRA,1978,Other malignant neoplasms
France,FRA,1979,Trachea and bronchus and lung
France,FRA,1980,Trachea and bronchus and lung
France,FRA,1981,Trachea and bronchus and lung
France,FRA,1982,Trachea and bronchus and lung
France,FRA,1983,Trachea and bronchus and lung
France,FRA,1984,Trachea and bronchus and lung
France,FRA,1985,Trachea and bronchus and lung
France,FRA,1986,Trachea and bronchus and lung
France,FRA,1987,Trachea and bronchus and lung
France,FRA,1988,Trachea and bronchus and lung
France,FRA,1989,Trachea and bronchus and lung
France,FRA,1990,Trachea and bronchus and lung
France,FRA,1991,Trachea and bronchus and lung
France,FRA,1992,Trachea and bronchus and lung
France,FRA,1993,Trachea and bronchus and lung
France,FRA,1994,Trachea and bronchus and lung
France,FRA,1995,Trachea and bronchus and lung
France,FRA,1996,Trachea and bronchus and lung
France,FRA,1997,Trachea and bronchus and lung
France,FRA,1998,Trachea and bronchus and lung
France,FRA,1999,Trachea and bronchus and lung
France,FRA,2000,Trachea and bronchus and lung
France,FRA,2001,Trachea and bronchus and lung
France,FRA,2002,Trachea and bronchus and lung
France,FRA,2003,Trachea and bronchus and lung
France,FRA,2004,Trachea and bronchus and lung
France,FRA,2005,Trachea and bronchus and lung
France,FRA,2006,Trachea and bronchus and lung
France,FRA,2007,Trachea and bronchus and lung
France,FRA,2008,Trachea and bronchus and lung
France,FRA,2009,Trachea and bronchus and lung
France,FRA,2010,Trachea and bronchus and lung
France,FRA,2011,Trachea and bronchus and lung
France,FRA,2012,Trachea and bronchus and lung
France,FRA,2013,Trachea and bronchus and lung
France,FRA,2014,Trachea and bronchus and lung
France,FRA,2015,Trachea and bronchus and lung
France,FRA,2016,Trachea and bronchus and lung
France,FRA,2017,Trachea and bronchus and lung
France,FRA,2018,Trachea and bronchus and lung
France,FRA,2019,Trachea and bronchus and lung
France,FRA,2020,Trachea and bronchus and lung
French Guiana,GUF,1968,Mouth and oropharynx
French Guiana,GUF,1969,Other malignant neoplasms
French Guiana,GUF,1970,Other malignant neoplasms
French Guiana,GUF,1971,Other malignant neoplasms
French Guiana,GUF,1972,Prostate
French Guiana,GUF,1973,Stomach
French Guiana,GUF,1974,Prostate
French Guiana,GUF,1975,Other malignant neoplasms
French Guiana,GUF,1976,Other malignant neoplasms
French Guiana,GUF,1977,Prostate
French Guiana,GUF,1978,Other malignant neoplasms
French Guiana,GUF,1979,Prostate
French Guiana,GUF,2001,Prostate
French Guiana,GUF,2002,Prostate
French Guiana,GUF,2003,Trachea and bronchus and lung
French Guiana,GUF,2004,Prostate
French Guiana,GUF,2005,Prostate
French Guiana,GUF,2006,Prostate
French Guiana,GUF,2007,Prostate
French Guiana,GUF,2008,Prostate
French Guiana,GUF,2009,Prostate
French Guiana,GUF,2010,Prostate
French Guiana,GUF,2011,Prostate
French Guiana,GUF,2012,Trachea and bronchus and lung
French Guiana,GUF,2013,Prostate
French Guiana,GUF,2014,Prostate
French Guiana,GUF,2015,Trachea and bronchus and lung
French Guiana,GUF,2016,Prostate
Georgia,GEO,1981,Other malignant neoplasms
Georgia,GEO,1982,Other malignant neoplasms
Georgia,GEO,1985,Trachea and bronchus and lung
Georgia,GEO,1986,Other malignant neoplasms
Georgia,GEO,1987,Other malignant neoplasms
Georgia,GEO,1988,Trachea and bronchus and lung
Georgia,GEO,1989,Trachea and bronchus and lung
Georgia,GEO,1990,Trachea and bronchus and lung
Georgia,GEO,1991,Other malignant neoplasms
Georgia,GEO,1992,Other malignant neoplasms
Georgia,GEO,1994,Other malignant neoplasms
Georgia,GEO,1995,Other malignant neoplasms
Georgia,GEO,1996,Other malignant neoplasms
Georgia,GEO,1997,Other malignant neoplasms
Georgia,GEO,1998,Trachea and bronchus and lung
Georgia,GEO,1999,Trachea and bronchus and lung
Georgia,GEO,2000,Trachea and bronchus and lung
Georgia,GEO,2001,Trachea and bronchus and lung
Georgia,GEO,2004,Trachea and bronchus and lung
Georgia,GEO,2005,Ill-defined malignant neoplasms
Georgia,GEO,2006,Ill-defined malignant neoplasms
Georgia,GEO,2007,Ill-defined malignant neoplasms
Georgia,GEO,2009,Trachea and bronchus and lung
Georgia,GEO,2010,Ill-defined malignant neoplasms
Georgia,GEO,2011,Trachea and bronchus and lung
Georgia,GEO,2012,Trachea and bronchus and lung
Georgia,GEO,2013,Trachea and bronchus and lung
Georgia,GEO,2014,Trachea and bronchus and lung
Georgia,GEO,2015,Trachea and bronchus and lung
Georgia,GEO,2016,Trachea and bronchus and lung
Georgia,GEO,2017,Trachea and bronchus and lung
Georgia,GEO,2018,Trachea and bronchus and lung
Georgia,GEO,2019,Trachea and bronchus and lung
Georgia,GEO,2020,Trachea and bronchus and lung
Georgia,GEO,2021,Trachea and bronchus and lung
Germany,DEU,1990,Trachea and bronchus and lung
Germany,DEU,1991,Trachea and bronchus and lung
Germany,DEU,1992,Trachea and bronchus and lung
Germany,DEU,1993,Trachea and bronchus and lung
Germany,DEU,1994,Trachea and bronchus and lung
Germany,DEU,1995,Trachea and bronchus and lung
Germany,DEU,1996,Trachea and bronchus and lung
Germany,DEU,1997,Trachea and bronchus and lung
Germany,DEU,1998,Trachea and bronchus and lung
Germany,DEU,1999,Trachea and bronchus and lung
Germany,DEU,2000,Trachea and bronchus and lung
Germany,DEU,2001,Trachea and bronchus and lung
Germany,DEU,2002,Trachea and bronchus and lung
Germany,DEU,2003,Trachea and bronchus and lung
Germany,DEU,2004,Trachea and bronchus and lung
Germany,DEU,2005,Trachea and bronchus and lung
Germany,DEU,2006,Trachea and bronchus and lung
Germany,DEU,2007,Trachea and bronchus and lung
Germany,DEU,2008,Trachea and bronchus and lung
Germany,DEU,2009,Trachea and bronchus and lung
Germany,DEU,2010,Trachea and bronchus and lung
Germany,DEU,2011,Trachea and bronchus and lung
Germany,DEU,2012,Trachea and bronchus and lung
Germany,DEU,2013,Trachea and bronchus and lung
Germany,DEU,2014,Trachea and bronchus and lung
Germany,DEU,2015,Trachea and bronchus and lung
Germany,DEU,2016,Trachea and bronchus and lung
Germany,DEU,2017,Trachea and bronchus and lung
Germany,DEU,2018,Trachea and bronchus and lung
Germany,DEU,2019,Trachea and bronchus and lung
Germany,DEU,2020,Trachea and bronchus and lung
Greece,GRC,1961,Other malignant neoplasms
Greece,GRC,1962,Other malignant neoplasms
Greece,GRC,1963,Other malignant neoplasms
Greece,GRC,1964,Other malignant neoplasms
Greece,GRC,1965,Other malignant neoplasms
Greece,GRC,1966,Other malignant neoplasms
Greece,GRC,1967,Other malignant neoplasms
Greece,GRC,1968,Other malignant neoplasms
Greece,GRC,1969,Other malignant neoplasms
Greece,GRC,1970,Other malignant neoplasms
Greece,GRC,1971,Other malignant neoplasms
Greece,GRC,1972,Other malignant neoplasms
Greece,GRC,1973,Other malignant neoplasms
Greece,GRC,1974,Other malignant neoplasms
Greece,GRC,1975,Other malignant neoplasms
Greece,GRC,1976,Other malignant neoplasms
Greece,GRC,1977,Other malignant neoplasms
Greece,GRC,1978,Other malignant neoplasms
Greece,GRC,1979,Trachea and bronchus and lung
Greece,GRC,1980,Trachea and bronchus and lung
Greece,GRC,1981,Trachea and bronchus and lung
Greece,GRC,1982,Trachea and bronchus and lung
Greece,GRC,1983,Trachea and bronchus and lung
Greece,GRC,1984,Trachea and bronchus and lung
Greece,GRC,1985,Trachea and bronchus and lung
Greece,GRC,1986,Trachea and bronchus and lung
Greece,GRC,1987,Trachea and bronchus and lung
Greece,GRC,1988,Trachea and bronchus and lung
Greece,GRC,1989,Trachea and bronchus and lung
Greece,GRC,1990,Trachea and bronchus and lung
Greece,GRC,1991,Trachea and bronchus and lung
Greece,GRC,1992,Trachea and bronchus and lung
Greece,GRC,1993,Trachea and bronchus and lung
Greece,GRC,1994,Trachea and bronchus and lung
Greece,GRC,1995,Trachea and bronchus and lung
Greece,GRC,1996,Trachea and bronchus and lung
Greece,GRC,1997,Trachea and bronchus and lung
Greece,GRC,1998,Trachea and bronchus and lung
Greece,GRC,1999,Trachea and bronchus and lung
Greece,GRC,2000,Trachea and bronchus and lung
Greece,GRC,2001,Trachea and bronchus and lung
Greece,GRC,2002,Trachea and bronchus and lung
Greece,GRC,2003,Trachea and bronchus and lung
Greece,GRC,2004,Trachea and bronchus and lung
Greece,GRC,2005,Trachea and bronchus and lung
Greece,GRC,2006,Trachea and bronchus and lung
Greece,GRC,2007,Trachea and bronchus and lung
Greece,GRC,2008,Trachea and bronchus and lung
Greece,GRC,2009,Trachea and bronchus and lung
Greece,GRC,2010,Trachea and bronchus and lung
Greece,GRC,2011,Trachea and bronchus and lung
Greece,GRC,2012,Trachea and bronchus and lung
Greece,GRC,2013,Trachea and bronchus and lung
Greece,GRC,2014,Trachea and bronchus and lung
Greece,GRC,2015,Trachea and bronchus and lung
Greece,GRC,2016,Trachea and bronchus and lung
Greece,GRC,2017,Trachea and bronchus and lung
Greece,GRC,2018,Trachea and bronchus and lung
Greece,GRC,2019,Trachea and bronchus and lung
Greece,GRC,2020,Trachea and bronchus and lung
Grenada,GRD,1985,Prostate
Grenada,GRD,1988,Lymphomas and multiple myeloma
Grenada,GRD,1989,Other malignant neoplasms
Grenada,GRD,1990,Prostate
Grenada,GRD,1991,Prostate
Grenada,GRD,1992,Prostate
Grenada,GRD,1993,Prostate
Grenada,GRD,1994,Prostate
Grenada,GRD,1995,Prostate
Grenada,GRD,1996,Prostate
Grenada,GRD,2001,Prostate
Grenada,GRD,2002,Prostate
Grenada,GRD,2003,Prostate
Grenada,GRD,2004,Prostate
Grenada,GRD,2005,Prostate
Grenada,GRD,2006,Prostate
Grenada,GRD,2007,Prostate
Grenada,GRD,2008,Prostate
Grenada,GRD,2009,Prostate
Grenada,GRD,2010,Prostate
Grenada,GRD,2011,Prostate
Grenada,GRD,2012,Prostate
Grenada,GRD,2013,Prostate
Grenada,GRD,2014,Prostate
Grenada,GRD,2015,Prostate
Grenada,GRD,2016,Prostate
Grenada,GRD,2017,Prostate
Grenada,GRD,2018,Prostate
Grenada,GRD,2019,Prostate
Grenada,GRD,2020,Prostate
Grenada,GRD,2021,Prostate
Guadeloupe,GLP,1974,Other malignant neoplasms
Guadeloupe,GLP,1981,Stomach
Guadeloupe,GLP,2000,Prostate
Guadeloupe,GLP,2001,Prostate
Guadeloupe,GLP,2002,Prostate
Guadeloupe,GLP,2003,Prostate
Guadeloupe,GLP,2004,Prostate
Guadeloupe,GLP,2005,Prostate
Guadeloupe,GLP,2006,Prostate
Guadeloupe,GLP,2007,Prostate
Guadeloupe,GLP,2008,Prostate
Guadeloupe,GLP,2009,Prostate
Guadeloupe,GLP,2010,Prostate
Guadeloupe,GLP,2011,Prostate
Guadeloupe,GLP,2012,Prostate
Guadeloupe,GLP,2013,Prostate
Guadeloupe,GLP,2014,Prostate
Guadeloupe,GLP,2015,Prostate
Guadeloupe,GLP,2016,Prostate
Guatemala,GTM,1963,Other malignant neoplasms
Guatemala,GTM,1964,Other malignant neoplasms
Guatemala,GTM,1965,Other malignant neoplasms
Guatemala,GTM,1966,Other malignant neoplasms
Guatemala,GTM,1967,Other malignant neoplasms
Guatemala,GTM,1968,Other malignant neoplasms
Guatemala,GTM,1969,Other malignant neoplasms
Guatemala,GTM,1970,Other malignant neoplasms
Guatemala,GTM,1971,Other malignant neoplasms
Guatemala,GTM,1974,Other malignant neoplasms
Guatemala,GTM,1975,Other malignant neoplasms
Guatemala,GTM,1976,Other malignant neoplasms
Guatemala,GTM,1977,Other malignant neoplasms
Guatemala,GTM,1978,Other malignant neoplasms
Guatemala,GTM,1979,Other malignant neoplasms
Guatemala,GTM,1980,Other malignant neoplasms
Guatemala,GTM,1981,Other malignant neoplasms
Guatemala,GTM,1984,Stomach
Guatemala,GTM,1986,Stomach
Guatemala,GTM,1987,Stomach
Guatemala,GTM,1988,Stomach
Guatemala,GTM,1989,Stomach
Guatemala,GTM,1990,Stomach
Guatemala,GTM,1991,Stomach
Guatemala,GTM,1992,Stomach
Guatemala,GTM,1993,Stomach
Guatemala,GTM,1994,Stomach
Guatemala,GTM,1995,Stomach
Guatemala,GTM,1996,Stomach
Guatemala,GTM,1997,Stomach
Guatemala,GTM,1998,Stomach
Guatemala,GTM,1999,Stomach
Guatemala,GTM,2000,Other malignant neoplasms
Guatemala,GTM,2001,Other malignant neoplasms
Guatemala,GTM,2002,Other malignant neoplasms
Guatemala,GTM,2003,Other malignant neoplasms
Guatemala,GTM,2004,Other malignant neoplasms
Guatemala,GTM,2005,Stomach
Guatemala,GTM,2006,Stomach
Guatemala,GTM,2007,Stomach
Guatemala,GTM,2008,Stomach
Guatemala,GTM,2009,Stomach
Guatemala,GTM,2010,Stomach
Guatemala,GTM,2011,Stomach
Guatemala,GTM,2012,Stomach
Guatemala,GTM,2013,Stomach
Guatemala,GTM,2014,Prostate
Guatemala,GTM,2015,Stomach
Guatemala,GTM,2016,Liver
Guatemala,GTM,2017,Liver
Guatemala,GTM,2018,Liver
Guatemala,GTM,2019,Liver
Guatemala,GTM,2020,Liver
Guatemala,GTM,2021,Liver
Guyana,GUY,1977,Other malignant neoplasms
Guyana,GUY,1979,Mouth and oropharynx
Guyana,GUY,1984,Prostate
Guyana,GUY,1988,Prostate
Guyana,GUY,1989,Prostate
Guyana,GUY,1990,Prostate
Guyana,GUY,1991,Prostate
Guyana,GUY,1992,Prostate
Guyana,GUY,1993,Prostate
Guyana,GUY,1994,Prostate
Guyana,GUY,1995,Prostate
Guyana,GUY,1996,Prostate
Guyana,GUY,1997,Prostate
Guyana,GUY,1998,Prostate
Guyana,GUY,1999,Prostate
Guyana,GUY,2001,Prostate
Guyana,GUY,2002,Prostate
Guyana,GUY,2003,Prostate
Guyana,GUY,2004,Prostate
Guyana,GUY,2005,Prostate
Guyana,GUY,2006,Prostate
Guyana,GUY,2007,Prostate
Guyana,GUY,2008,Prostate
Guyana,GUY,2009,Prostate
Guyana,GUY,2010,Prostate
Guyana,GUY,2011,Prostate
Guyana,GUY,2012,Prostate
Guyana,GUY,2013,Prostate
Guyana,GUY,2014,Prostate
Guyana,GUY,2015,Prostate
Guyana,GUY,2016,Prostate
Guyana,GUY,2017,Prostate
