Entity,Code,Year,Leading cancer types causing death in females
Armenia,ARM,2019,Breast
Armenia,ARM,2020,Breast
Armenia,ARM,2021,Breast
Armenia,ARM,2022,Breast
Australia,AUS,1950,Other malignant neoplasms
Australia,AUS,1951,Other malignant neoplasms
Australia,AUS,1952,Other malignant neoplasms
Australia,AUS,1953,Other malignant neoplasms
Australia,AUS,1954,Other malignant neoplasms
Australia,AUS,1955,Other malignant neoplasms
Australia,AUS,1956,Other malignant neoplasms
Australia,AUS,1957,Other malignant neoplasms
Australia,AUS,1958,Other malignant neoplasms
Australia,AUS,1959,Other malignant neoplasms
Australia,AUS,1960,Other malignant neoplasms
Australia,AUS,1961,Other malignant neoplasms
Australia,AUS,1962,Other malignant neoplasms
Australia,AUS,1963,Other malignant neoplasms
Australia,AUS,1964,Other malignant neoplasms
Australia,AUS,1965,Other malignant neoplasms
Australia,AUS,1966,Other malignant neoplasms
Australia,AUS,1967,Other malignant neoplasms
Australia,AUS,1968,Other malignant neoplasms
Australia,AUS,1969,Other malignant neoplasms
Australia,AUS,1970,Other malignant neoplasms
Australia,AUS,1971,Other malignant neoplasms
Australia,AUS,1972,Other malignant neoplasms
Australia,AUS,1973,Other malignant neoplasms
Australia,AUS,1974,Other malignant neoplasms
Australia,AUS,1975,Other malignant neoplasms
Australia,AUS,1976,Other malignant neoplasms
Australia,AUS,1977,Other malignant neoplasms
Australia,AUS,1978,Other malignant neoplasms
Australia,AUS,1979,Breast
Australia,AUS,1980,Breast
Australia,AUS,1981,Breast
Australia,AUS,1982,Breast
Australia,AUS,1983,Breast
Australia,AUS,1984,Breast
Australia,AUS,1985,Breast
Australia,AUS,1986,Breast
Australia,AUS,1987,Breast
Australia,AUS,1988,Breast
Australia,AUS,1989,Breast
Australia,AUS,1990,Breast
Australia,AUS,1991,Breast
Australia,AUS,1992,Breast
Australia,AUS,1993,Breast
Australia,AUS,1994,Breast
Australia,AUS,1995,Breast
Australia,AUS,1996,Breast
Australia,AUS,1997,Breast
Australia,AUS,1998,Breast
Australia,AUS,1999,Breast
Australia,AUS,2000,Breast
Australia,AUS,2001,Breast
Australia,AUS,2002,Breast
Australia,AUS,2003,Breast
Australia,AUS,2004,Breast
Australia,AUS,2006,Breast
Australia,AUS,2007,Trachea and bronchus and lung
Australia,AUS,2008,Breast
