row ID;Belehrungszeitpunkt;Altersgruppe;Bezahlart;Authentifizierungsart;Versandart;Zielgruppe
Row190;2022-05-04T17:00:00+00:00;10-19;creditcard;Selfie;E-Mail;Beruflich
Row200;2022-05-06T12:00:00+00:00;10-19;paypal;Selfie;E-Mail;Beruflich
Row201;2022-05-06T13:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row205;2022-05-06T21:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row208;2022-05-07T16:00:00+00:00;10-19;paypal;eID;E-Mail;Beruflich
Row210;2022-05-07T18:00:00+00:00;20-29;paypal;eID;Download;Beruflich
Row219;2022-05-08T21:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row221;2022-05-09T09:00:00+00:00;30-39;creditcard;Selfie;E-Mail;Beruflich
Row222;2022-05-09T11:00:00+00:00;40-49;sepa;Selfie;E-Mail;Beruflich
Row223;2022-05-09T13:00:00+00:00;60-69;creditcard;Selfie;Post;Beruflich
Row225;2022-05-09T13:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row229;2022-05-09T14:00:00+00:00;30-39;creditcard;Selfie;E-Mail;Beruflich
Row230;2022-05-09T15:00:00+00:00;10-19;paypal;Selfie;E-Mail;Beruflich
Row232;2022-05-10T08:00:00+00:00;50-59;paypal;Selfie;Post;Beruflich
Row233;2022-05-10T10:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row235;2022-05-10T10:00:00+00:00;40-49;paypal;Selfie;E-Mail;Beruflich
Row241;2022-05-10T15:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row246;2022-05-11T10:00:00+00:00;40-49;sepa;Selfie;E-Mail;Beruflich
Row247;2022-05-11T10:00:00+00:00;30-39;paypal;Selfie;E-Mail;Beruflich
Row254;2022-05-11T19:00:00+00:00;40-49;paypal;Selfie;E-Mail;Beruflich
Row255;2022-05-11T19:00:00+00:00;10-19;paypal;Selfie;E-Mail;Beruflich
Row256;2022-05-11T21:00:00+00:00;50-59;sepa;Selfie;E-Mail;Beruflich
Row259;2022-05-12T11:00:00+00:00;10-19;paypal;Selfie;E-Mail;Beruflich
Row260;2022-05-12T12:00:00+00:00;10-19;paypal;Selfie;E-Mail;Beruflich
Row268;2022-05-12T23:00:00+00:00;30-39;paypal;Selfie;Post;Beruflich
Row270;2022-05-13T12:00:00+00:00;50-59;giropay;Selfie;Post;Beruflich
Row272;2022-05-13T13:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row273;2022-05-13T17:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row275;2022-05-13T18:00:00+00:00;40-49;sepa;Selfie;Post;Beruflich
Row276;2022-05-13T20:00:00+00:00;10-19;sepa;Selfie;E-Mail;Beruflich
Row283;2022-05-16T11:00:00+00:00;30-39;sepa;Selfie;E-Mail;Beruflich
Row295;2022-05-16T21:00:00+00:00;30-39;paypal;Selfie;E-Mail;Beruflich
Row299;2022-05-17T15:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row303;2022-05-18T01:00:00+00:00;10-19;paypal;Selfie;E-Mail;Beruflich
Row306;2022-05-18T10:00:00+00:00;30-39;paypal;Selfie;E-Mail;Beruflich
Row309;2022-05-18T11:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row314;2022-05-18T14:00:00+00:00;10-19;paypal;Selfie;E-Mail;Beruflich
Row315;2022-05-18T18:00:00+00:00;30-39;paypal;Selfie;E-Mail;Beruflich
Row316;2022-05-18T18:00:00+00:00;10-19;paypal;Selfie;E-Mail;Beruflich
Row318;2022-05-18T19:00:00+00:00;40-49;paypal;Selfie;Post;Beruflich
Row320;2022-05-19T09:00:00+00:00;10-19;paypal;Selfie;E-Mail;Beruflich
Row326;2022-05-20T09:00:00+00:00;50-59;paypal;eID;E-Mail;Beruflich
Row328;2022-05-20T12:00:00+00:00;40-49;sepa;Selfie;E-Mail;Beruflich
Row329;2022-05-20T12:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row330;2022-05-20T12:00:00+00:00;30-39;paypal;eID;E-Mail;Beruflich
Row331;2022-05-20T13:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row336;2022-05-20T20:00:00+00:00;10-19;paypal;Selfie;E-Mail;Beruflich
Row339;2022-05-21T12:00:00+00:00;30-39;paypal;Selfie;E-Mail;Beruflich
Row344;2022-05-22T15:00:00+00:00;10-19;creditcard;Selfie;E-Mail;Beruflich
Row348;2022-05-23T12:00:00+00:00;50-59;paypal;Selfie;E-Mail;Beruflich
Row355;2022-05-23T16:00:00+00:00;20-29;giropay;Selfie;Post;Beruflich
Row356;2022-05-23T19:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row358;2022-05-23T20:00:00+00:00;30-39;paypal;Selfie;E-Mail;Beruflich
Row360;2022-05-23T23:00:00+00:00;30-39;sepa;Selfie;Post;Beruflich
Row361;2022-05-24T10:00:00+00:00;10-19;giropay;Selfie;E-Mail;Beruflich
Row365;2022-05-24T14:00:00+00:00;30-39;sepa;Selfie;E-Mail;Beruflich
Row366;2022-05-24T16:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row368;2022-05-24T17:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row370;2022-05-24T20:00:00+00:00;40-49;sepa;Selfie;Post;Beruflich
Row374;2022-05-25T09:00:00+00:00;50-59;paypal;Selfie;E-Mail;Beruflich
Row382;2022-05-25T18:00:00+00:00;40-49;paypal;Selfie;E-Mail;Beruflich
Row384;2022-05-25T20:00:00+00:00;20-29;sepa;Selfie;Post;Beruflich
Row386;2022-05-26T08:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row387;2022-05-26T10:00:00+00:00;30-39;paypal;Selfie;E-Mail;Beruflich
Row389;2022-05-26T18:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row391;2022-05-27T12:00:00+00:00;10-19;paypal;Selfie;E-Mail;Beruflich
Row393;2022-05-27T14:00:00+00:00;50-59;paypal;eID;Download;Beruflich
Row394;2022-05-27T14:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row399;2022-05-28T17:00:00+00:00;30-39;sepa;Selfie;E-Mail;Beruflich
Row401;2022-05-29T15:00:00+00:00;10-19;paypal;Selfie;E-Mail;Beruflich
Row403;2022-05-29T21:00:00+00:00;10-19;sepa;Selfie;E-Mail;Beruflich
Row404;2022-05-29T21:00:00+00:00;20-29;paypal;Selfie;Post;Beruflich
Row406;2022-05-29T23:00:00+00:00;20-29;giropay;Selfie;E-Mail;Beruflich
Row409;2022-05-30T11:00:00+00:00;20-29;sepa;Selfie;E-Mail;Beruflich
Row413;2022-05-30T13:00:00+00:00;30-39;sepa;Selfie;E-Mail;Beruflich
Row415;2022-05-30T15:00:00+00:00;20-29;sepa;Selfie;Post;Beruflich
Row419;2022-05-30T16:00:00+00:00;60-69;paypal;Selfie;Post;Beruflich
Row420;2022-05-30T16:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row422;2022-05-30T19:00:00+00:00;30-39;paypal;Selfie;E-Mail;Beruflich
Row424;2022-05-31T00:00:00+00:00;30-39;creditcard;Selfie;E-Mail;Beruflich
Row426;2022-05-31T10:00:00+00:00;10-19;paypal;eID;E-Mail;Beruflich
Row433;2022-05-31T15:00:00+00:00;30-39;paypal;Selfie;E-Mail;Beruflich
Row434;2022-05-31T15:00:00+00:00;40-49;paypal;Selfie;E-Mail;Beruflich
Row435;2022-05-31T15:00:00+00:00;20-29;paypal;Selfie;Post;Beruflich
Row437;2022-05-31T21:00:00+00:00;40-49;paypal;Selfie;E-Mail;Beruflich
Row438;2022-05-31T21:00:00+00:00;30-39;paypal;Selfie;E-Mail;Beruflich
Row439;2022-06-01T07:00:00+00:00;30-39;paypal;Selfie;E-Mail;Beruflich
Row440;2022-06-01T09:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row447;2022-06-01T23:00:00+00:00;10-19;paypal;Selfie;E-Mail;Beruflich
Row453;2022-06-02T16:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row455;2022-06-02T17:00:00+00:00;60-69;sepa;Selfie;E-Mail;Beruflich
Row456;2022-06-02T18:00:00+00:00;40-49;sepa;Selfie;E-Mail;Beruflich
Row459;2022-06-02T19:00:00+00:00;30-39;paypal;Selfie;E-Mail;Beruflich
Row465;2022-06-03T12:00:00+00:00;60-69;sepa;Selfie;E-Mail;Beruflich
Row466;2022-06-03T13:00:00+00:00;10-19;paypal;eID;E-Mail;Beruflich
Row471;2022-06-03T21:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row474;2022-06-04T17:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row476;2022-06-05T13:00:00+00:00;10-19;paypal;eID;E-Mail;Beruflich
Row478;2022-06-05T14:00:00+00:00;10-19;paypal;Selfie;E-Mail;Beruflich
Row481;2022-06-05T20:00:00+00:00;40-49;sepa;Selfie;E-Mail;Beruflich
Row487;2022-06-06T16:00:00+00:00;10-19;sepa;eID;E-Mail;Beruflich
Row489;2022-06-06T18:00:00+00:00;30-39;paypal;Selfie;E-Mail;Beruflich
Row490;2022-06-06T19:00:00+00:00;10-19;paypal;eID;E-Mail;Beruflich
Row493;2022-06-07T09:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row496;2022-06-07T14:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row498;2022-06-07T14:00:00+00:00;10-19;paypal;eID;E-Mail;Beruflich
Row500;2022-06-07T16:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row505;2022-06-07T21:00:00+00:00;30-39;paypal;Selfie;E-Mail;Beruflich
Row510;2022-06-08T14:00:00+00:00;60-69;paypal;Selfie;E-Mail;Beruflich
Row513;2022-06-08T15:00:00+00:00;30-39;paypal;Selfie;E-Mail;Beruflich
Row514;2022-06-08T15:00:00+00:00;20-29;paypal;Selfie;Post;Beruflich
Row518;2022-06-08T17:00:00+00:00;10-19;creditcard;Selfie;E-Mail;Beruflich
Row521;2022-06-08T18:00:00+00:00;30-39;sepa;Selfie;E-Mail;Beruflich
Row526;2022-06-08T19:00:00+00:00;10-19;creditcard;Selfie;E-Mail;Beruflich
Row527;2022-06-08T19:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row529;2022-06-08T19:00:00+00:00;10-19;creditcard;Selfie;E-Mail;Beruflich
Row533;2022-06-08T20:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row535;2022-06-08T21:00:00+00:00;10-19;creditcard;Selfie;E-Mail;Beruflich
Row537;2022-06-08T22:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row540;2022-06-09T09:00:00+00:00;10-19;paypal;Selfie;Post;Beruflich
Row543;2022-06-09T11:00:00+00:00;40-49;paypal;Selfie;E-Mail;Beruflich
