LIIK;TYYP;MARK;MUDEL;KATEGOORIA;KERE_MATERJAL;PIKKUS;LAIUS;SYVIS;EHITUSAASTA;ESMANE_REG_KP;MOOTORITE_ARV;MOOTORITE_VOIMSUS;VKOM_MAAKOND;VKOM_TYYP
ALLA12MLAEV;TÖÖPAAT;SPM 1603;LC-624;C;ALUMIINIUM;9.7;2.8;0.5;2011;;1;330.0;Harju;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;DULKAN;370;C;KANGAS;3.7;1.7;0.15;;2019-05-15;1;14.7;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;BELLA;440TL;D;PLASTIK;4.3;1.75;0.3;;2022-07-04;1;37.0;Põlva;FYYSILINE
VÄIKELAEV;MOOTORPAAT;TROPHY;166C;C;ALUMIINIUM;4.98;1.97;0.45;203;;1;55.2;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;AMBER;315;D;PLASTIK;3.15;1.43;0.2;2018;2021-06-11;1;4.7;Lääne;FYYSILINE
JETT;;KAWASAKI;STX 15F;;MUU;3.1;1.17;0.0;2003;;0;118.0;Harju;JURIIDILINE
VÄIKELAEV;KALAPAAT;-;-;D;PUIT;4.5;1.2;0.1;1993;;0;5.0;Lääne;FYYSILINE
VÄIKELAEV;MOOTORPAAT;YAM;300 S;C;KUMM;3.0;1.51;0.2;2005;;1;7.5;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;SEABIRD;700;D;PLASTIK;4.7;1.7;0.35;1989;2016-08-23;1;11.0;Saare;FYYSILINE
VÄIKELAEV;MOOTORPAAT;SCANTIC;575 HT;C;PLASTIK;5.75;2.04;0.5;;;1;103.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;UTTERN;560HT;C;PLASTIK;5.6;2.0;0.3;;2022-03-23;1;40.5;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;ALUNAUT;750 AC;C;ALUMIINIUM;7.5;2.8;0.5;2013;;1;257.0;Harju;JURIIDILINE
VÄIKELAEV;SÕUDEPAAT;-;-;;KUMM;2.65;1.15;0.0;2000;;0;0.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;OUTLAND;MX-390/0AL;C;KANGAS;3.79;1.73;;2014;2014-08-09;1;18.7;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;MV MARIN;6600 FC;C;PLASTIK;6.6;2.6;0.9;2007;;1;111.0;Tartu;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;-;-;;PLASTIK;4.3;1.7;0.2;2000;;0;20.0;Lääne-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;;KANGAS;4.2;1.95;0.09;2003;;0;10.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KAZANKA;-;D;ALUMIINIUM;4.63;1.26;0.15;1969;;1;6.0;Ida-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;C;PLASTIK;4.3;1.55;0.0;2003;;0;4.0;Saare;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;TRIPPEL-BATEN;430;D;PLASTIK;4.3;1.58;0.33;2008;;1;7.4;Viljandi;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;JUZANKA;-;D;ALUMIINIUM;4.63;1.26;0.3;1970;2015-03-05;1;10.0;;FYYSILINE
ALLA12MLAEV;KALAPAAT;HIIU;450 ;D;PLASTIK;4.5;1.6;0.35;2010;;1;10.0;Hiiu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;PARKER;790 EXPLORER;C;PLASTIK;6.99;2.87;0.5;2022;2022-03-16;1;257.6;Harju;JURIIDILINE
VÄIKELAEV;SÕUDEPAAT;OMAVALMISTATUD;-;D;PLASTIK;4.4;1.6;0.2;1995;;1;10.0;Pärnu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KIILI PAAT;440;D;PLASTIK;4.4;1.62;0.3;2014;2015-08-28;1;6.0;Jõgeva;FYYSILINE
JETT;;SEA DOO;GSX;;;2.67;1.16;;1998;;1;98.0;Harju;JURIIDILINE
JETT;;SEA-DOO;SPARK 900 HO;C;;2.79;1.18;;2014;;1;66.0;Harju;FYYSILINE
VÄIKELAEV;PURJEJAHT;FACIL;26;C;PLASTIK;7.81;2.74;1.42;1980;;1;7.4;Harju;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;WIGRY;355;D;PLASTIK;3.55;1.65;0.25;2014;2014-11-07;1;15.0;Pärnu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;LEDJANKA;-;D;PLASTIK;4.8;1.4;0.2;1981;;0;;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;CURSUS;440;D;PLASTIK;4.4;1.8;0.25;2014;;1;14.0;Pärnu;FYYSILINE
VÄIKELAEV;KALAPAAT;-;-;C;PUIT;6.0;1.8;0.35;1990;;0;6.0;Pärnu;FYYSILINE
VÄIKELAEV;PURJEJAHT;ENTER;360 EXPLICIT;A;PLASTIK;10.8;3.2;1.92;2000;2022-06-03;1;27.0;Viljandi;JURIIDILINE
VÄIKELAEV;SÕUDEPAAT;COMTEC - COMPOSITE DEVELOPMENT LTD;-;D;PLASTIK;3.05;1.46;0.2;2006;;1;11.0;Pärnu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;VIRULANE;430;D;PLASTIK;4.3;1.45;0.23;1991;;1;5.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;DELTA;380;D;PLASTIK;3.7;1.5;0.2;2006;;1;7.5;Põlva;FYYSILINE
VÄIKELAEV;MOOTORPAAT;ASTRA;435;D;PLASTIK;4.3;1.8;0.3;2016;2020-11-30;1;22.4;Harju;JURIIDILINE
VÄIKELAEV;SÕUDEPAAT;-;-;;PUIT;4.0;0.9;0.1;1989;;0;0.0;Võru;FYYSILINE
ALLA12MLAEV;KALAPAAT;LADOGA;-;C;PLASTIK;4.16;1.54;0.3;1979;;1;22.0;Hiiu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;FLIPPER;-;D;PLASTIK;4.5;1.5;0.2;1991;;1;4.0;Lääne;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;PELLA;FJORD;D;PLASTIK;4.36;1.46;0.0;1987;;0;0.0;Jõgeva;FYYSILINE
VÄIKELAEV;MOOTORPAAT;HURRICANE;500HT;C;PLASTIK;5.05;1.98;0.35;1988;2018-11-21;1;66.0;Tartu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;NORDKAPP;NOBLESSE 720;C;PLASTIK;7.09;2.57;0.48;2021;2022-01-19;1;187.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;GLASSTREAM;192GLX;C;PLASTIK;5.97;2.31;0.55;1991;2014-05-21;1;88.3;Pärnu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;SILVER;BEAVER 450;C;ALUMIINIUM;4.5;1.81;;2011;2018-06-09;1;30.0;Tartu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;SHKIPER;280RN;D;KANGAS;2.8;1.23;;;2020-06-18;1;1.8;Pärnu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;BUSTER;XXL;C;ALUMIINIUM;5.8;2.25;0.0;2000;;1;84.0;Saare;FYYSILINE
VÄIKELAEV;MOOTORPAAT;YAMARIN;56 HT;C;PLASTIK;5.53;2.24;0.32;2008;;1;74.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;NIMBUS;2600;C;PLASTIK;8.35;2.6;0.8;;2020-06-17;1;110.0;Viljandi;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;D;PLASTIK;2.65;1.4;0.0;1998;;0;3.0;Lääne-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;C;PLASTIK;4.36;1.46;0.0;1991;;0;4.0;Saare;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;MÄÄRAMATA;-;D;PLASTIK;4.0;1.5;0.2;1980;;1;1.8;Saare;FYYSILINE
VÄIKELAEV;MOOTORPAAT;SKIPP;440;D;PLASTIK;4.4;1.72;0.27;;2020-04-23;1;7.5;Rapla;FYYSILINE
VÄIKELAEV;MOOTORPAAT;SUVI;480;D;PLASTIK;4.8;1.8;0.3;1999;1999-07-01;1;30.0;Põlva;FYYSILINE
VÄIKELAEV;MOOTORPAAT;NORDLINE;41M;D;PLASTIK;4.1;1.5;0.2;;2019-07-10;1;7.5;Tartu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;HYDRO-FORCE;65096;D;KANGAS;2.91;1.27;0.1;2018;2022-09-28;1;1.0;Pärnu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;LOHI;510;C;PLASTIK;5.1;2.0;0.4;1991;;1;22.0;Jõgeva;FYYSILINE
VÄIKELAEV;MOOTORPAAT;ZODIAC;C285S;D;MUU;2.85;1.5;0.15;1998;2016-08-29;1;6.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;-;-;C;ALUMIINIUM;4.65;1.7;0.0;1970;;0;5.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;BAYLINER;192;C;PLASTIK;5.51;2.36;0.35;2000;;1;142.0;Pärnu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;PELLA;-;D;PLASTIK;4.2;1.4;;1982;2017-04-26;1;3.7;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;PELLA;-;D;PLASTIK;4.53;1.4;;;2022-08-23;1;4.4;Saare;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KAZANKA;M;D;TERAS;4.63;1.7;0.15;1986;;1;10.0;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;-;-;C;ALUMIINIUM;3.8;1.4;0.38;1987;;0;4.0;;FYYSILINE
VÄIKELAEV;MOOTORPAAT;DNEPR;-;D;ALUMIINIUM;4.4;1.59;0.3;1976;;1;22.1;Tartu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;PAKRI;450;C;PLASTIK;4.5;1.6;0.3;2004;;1;11.0;Pärnu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;WIGRY;310/315;D;PLASTIK;3.08;1.24;0.12;;2019-05-15;1;5.0;Valga;FYYSILINE
JETT;;YAMAHA;GP1800R SVHO;C;;3.35;1.24;;2019;2021-04-28;1;191.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;OMAVALMISTATUD;-;D;PUIT;5.0;1.02;0.1;1992;;0;0.0;Võru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;C;PLASTIK;4.2;1.5;0.0;1983;;0;4.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;JAGO;320;D;KANGAS;3.2;1.54;0.25;2013;;1;11.0;Pärnu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;BUSH;K-360;C;KANGAS;3.6;1.7;0.2;2016;2016-07-21;1;18.4;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;KAIMAN;K-360 R;C;KANGAS;3.6;1.7;0.15;2012;;1;18.4;Tartu;FYYSILINE
JETT;;SEA-DOO;GTR 230;C;;3.28;1.23;;2018;2018-08-08;1;169.0;Ida-Viru;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;HT;510;D;PLASTIK;5.1;2.0;0.35;;;1;52.0;Saare;FYYSILINE
VÄIKELAEV;MOOTORPAAT;SKATE;S-410;C;KANGAS;4.1;1.9;0.2;;2022-06-02;1;1.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;NEMAN;2;D;ALUMIINIUM;3.8;1.4;0.2;1981;;1;20.0;Võru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;BUSTER;X;C;ALUMIINIUM;5.15;2.06;0.3;2008;;1;60.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;TAIFUN;X;C;PLASTIK;4.4;1.7;0.3;1973;;1;40.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;BRIGITTE;-;D;PLASTIK;4.25;1.65;0.2;1965;;1;29.4;Tartu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;MARINO;SPORT;D;PLASTIK;4.3;1.7;0.2;1966;;1;37.0;Ida-Viru;FYYSILINE
ALLA12MLAEV;KALAPAAT;KASSE;430;D;PLASTIK;4.3;1.55;0.28;2001;;1;6.0;Saare;FYYSILINE
VÄIKELAEV;MOOTORPAAT;XO;240 RS;C;ALUMIINIUM;7.52;2.28;0.9;2010;;1;221.0;Harju;JURIIDILINE
VÄIKELAEV;SÕUDEPAAT;JUZANKA;-;D;ALUMIINIUM;4.63;1.6;0.2;1969;;1;10.0;Ida-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KASSE;430;D;PLASTIK;4.3;1.55;0.28;2010;;1;4.0;;FYYSILINE
VÄIKELAEV;MOOTORPAAT;PROGRESS;2M;D;ALUMIINIUM;4.65;1.7;0.2;1984;;1;22.0;Jõgeva;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KAZANKA;-;D;ALUMIINIUM;4.63;1.26;;1964;;1;6.0;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;-;-;D;PUIT;5.5;1.66;0.4;1987;;1;14.7;Pärnu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;BUSH;CRAB K-360;C;KANGAS;3.6;1.7;;2013;;1;18.4;Tartu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;TERHI;430S;C;PLASTIK;4.38;1.75;0.3;1985;;1;33.0;Lääne-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KASSE;430;D;PLASTIK;4.33;1.68;0.26;2014;2014-06-18;1;4.0;Pärnu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;TOLLARE;CORINA 22;C;PLASTIK;6.7;2.7;0.9;;2019-07-12;1;126.8;Põlva;FYYSILINE
VÄIKELAEV;MOOTORPAAT;FOUR WINNS;SUNDOWNER 265;C;PLASTIK;7.82;2.59;0.89;2000;2018-01-04;1;239.0;Harju;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;CATRAN;ENDURO 285PG;C;KUMM;2.85;1.51;0.15;2007;;0;7.5;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;BAYLINER;CAPRI;C;PLASTIK;5.59;2.1;0.35;1997;;1;88.0;Valga;FYYSILINE
VÄIKELAEV;MOOTORPAAT;OKA;4;D;ALUMIINIUM;4.9;1.6;0.4;1984;;1;5.0;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;VBOATS;VOLZHANKA 42 SCOUT;C;ALUMIINIUM;4.2;1.8;0.26;2021;2021-08-03;1;23.0;Rapla;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;LOTTA;360;D;PLASTIK;3.6;1.5;0.15;2012;;1;7.4;Tartu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;YAMARIN;575 BIG GAME;C;PLASTIK;5.7;2.25;0.35;1994;2009-07-15;1;84.6;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;VELES;301;D;KANGAS;3.0;1.45;0.15;2011;;1;7.4;Pärnu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;VEGA-SPART;10 E;D;KUMM;4.95;2.0;0.1;2008;;0;0.0;;JURIIDILINE
VÄIKELAEV;SÕUDEPAAT;CAPITAN;290SS;D;KANGAS;2.9;1.37;;;2019-05-14;1;3.7;Pärnu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;HAMARINA;HT;C;PLASTIK;4.6;1.6;0.2;1975;;1;44.0;Tartu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;SKIPP;460;D;PLASTIK;4.6;1.36;0.3;2010;;1;3.0;Ida-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;D;KUMM;3.2;1.4;0.0;1991;;0;3.0;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;TERHI;445 C;C;PLASTIK;4.45;1.85;0.21;2015;2015-06-18;1;22.4;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;PROGRESS;4;D;ALUMIINIUM;4.65;1.7;0.2;1995;;1;22.0;Põlva;FYYSILINE
VÄIKELAEV;MOOTORPAAT;MAXUM;2300 SC;C;PLASTIK;6.71;2.59;1.04;2000;2016-07-01;1;225.0;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;DULKAN;D345;C;KANGAS;3.45;1.65;;2010;;1;15.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;PROGRESS;4;D;ALUMIINIUM;4.65;1.7;0.23;1978;;1;22.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KASSE;430;D;PLASTIK;4.3;1.55;0.28;2007;;1;4.0;Saare;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;;PLASTIK;4.2;1.5;2.2;1978;;0;0.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;KAZANKA;5M3;D;ALUMIINIUM;4.5;1.6;0.0;1990;;1;44.0;Ida-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;NORDLINE;29;D;PLASTIK;2.95;1.35;0.15;;2019-06-13;1;4.5;Tartu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;GRAND;E270;D;KANGAS;2.7;1.4;0.0;2007;;1;5.9;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;FUNSOR;480;C;PLASTIK;4.8;1.88;0.15;2014;2014-07-17;1;37.0;Pärnu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KASSE;430;D;PLASTIK;4.3;1.55;0.28;2006;;1;3.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;SLEEK;CRAFT;B;PLASTIK;7.2;2.3;;1986;;1;132.4;Tartu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;GLASTRON;GS 185;C;PLASTIK;5.49;2.28;0.3;1997;;1;151.0;Pärnu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;YAMARIN CROSS;62 BOW RIDER;C;ALUMIINIUM;6.12;2.26;0.31;2021;2021-08-18;1;112.0;Harju;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;FLIPPER;470;D;PLASTIK;4.7;1.9;0.35;1979;;0;45.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;LADYA;L 290M;D;KANGAS;2.9;1.41;;;2021-08-18;1;5.8;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;BRIG;FALCON 450;C;PLASTIK;4.45;1.9;0.3;2017;2017-12-20;1;44.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;PELLA;-;D;PLASTIK;4.2;1.5;0.2;1985;;1;6.0;Hiiu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;PROGRESS;2M;D;ALUMIINIUM;4.65;1.7;0.2;1990;;1;22.0;Tartu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;DNEPR;Y1;C;ALUMIINIUM;4.4;1.59;0.25;1987;;1;22.5;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;BAYLINER;1702CV;C;PLASTIK;5.18;2.16;0.42;1996;;1;74.0;Pärnu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;VORONEZ;-;D;ALUMIINIUM;4.2;1.5;0.25;1984;;0;22.0;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;-;-;C;ALUMIINIUM;4.4;1.57;0.0;1977;;0;4.0;Saare;FYYSILINE
VÄIKELAEV;MOOTORPAAT;SILVER;SHARK 580 DC;C;ALUMIINIUM;5.8;2.25;0.0;2002;;1;84.5;Hiiu;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;SILVER;BEAVER 425;D;ALUMIINIUM;4.25;1.78;0.15;1998;2014-07-11;1;22.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;NORDLINE;28;D;PLASTIK;2.85;1.3;0.1;2009;;1;2.2;Ida-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;CATRAN;RAPID 300;C;KANGAS;3.0;1.72;0.15;2007;;1;7.5;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;TERHI;BIG FUN;C;PLASTIK;4.7;1.85;0.3;;2019-07-26;1;44.8;Tartu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;PROGRESS;4;D;ALUMIINIUM;4.65;1.7;0.3;1980;;1;30.0;Ida-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;DULKAN;K 345;D;KANGAS;3.45;1.65;0.05;2007;;1;10.0;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;QUICKSILVER;755 PILOTHOUSE;C;PLASTIK;6.99;2.72;0.59;2015;2015-10-27;1;184.0;Harju;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;DULKAN;GAUJA 260 R;D;KANGAS;2.6;1.4;0.1;;2019-05-23;1;1.6;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;KRÕM;-;C;ALUMIINIUM;4.65;1.7;0.3;1974;;1;30.0;Ida-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;;KUMM;2.5;1.1;0.1;2003;;0;0.0;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;CURSUS;440;D;PLASTIK;4.4;1.8;0.25;2017;2017-04-04;1;14.7;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;DULKAN;D-370 DZ;C;KANGAS;3.7;1.7;0.15;2017;2018-08-30;1;14.9;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;D;KUMM;2.55;1.11;0.0;1999;;0;3.0;Lääne-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KASSE;430;D;PLASTIK;4.3;1.55;0.28;2008;;1;4.0;Saare;FYYSILINE
VÄIKELAEV;MOOTORPAAT;GALA;F330;C;PLASTIK;3.3;1.7;0.21;2020;2021-08-12;1;14.7;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;VATOR;-;C;PLASTIK;4.3;1.6;0.3;1986;;1;29.4;Pärnu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;SUZUMAR;DS 350 RIB;C;KANGAS;3.48;1.76;0.25;2011;;1;18.4;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;ALPHABOAT;RIB 600;C;KANGAS;6.1;2.3;0.45;2007;;1;74.0;Harju;FYYSILINE
VÄIKELAEV;PURJEJAHT;MAXI;FENIX;C;PLASTIK;8.34;2.83;1.5;1985;2017-05-18;1;7.4;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;PELLA;-;D;PLASTIK;4.2;1.5;0.08;1990;;0;0.0;Valga;FYYSILINE
VÄIKELAEV;MOOTORPAAT;PROGRESS;4;D;ALUMIINIUM;4.65;1.7;0.1;1978;;1;22.0;Võru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;TROPIC;305;D;KANGAS;3.05;1.5;0.0;1996;;1;8.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;ROMANA;430;C;PLASTIK;4.2;1.75;;2021;2022-03-28;1;22.1;Tartu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;MÄÄRAMATA;-;C;PUIT;5.5;1.66;0.4;1987;;1;5.0;Saare;FYYSILINE
VÄIKELAEV;MOOTORPAAT;WHALY;500 R;C;PLASTIK;4.99;2.1;0.25;;2019-06-17;1;44.0;Harju;JURIIDILINE
VÄIKELAEV;SÕUDEPAAT;-;-;;PLASTIK;4.2;1.5;0.0;1991;;0;3.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;OMAVALMISTATUD;-;D;PUIT;5.8;1.3;0.2;1992;;1;6.0;Võru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;OB;3;D;ALUMIINIUM;4.2;1.45;0.3;1996;;1;22.0;Tartu;FYYSILINE
JETT;;KAWASAKI;JS800A;;;2.32;0.7;;2005;;1;58.8;Viljandi;FYYSILINE
VÄIKELAEV;MOOTORPAAT;MV MARINE;5400;C;PLASTIK;5.4;2.25;0.5;2003;;1;67.0;;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;LOHI;410;D;PLASTIK;4.05;1.55;0.2;1988;;1;14.7;Pärnu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KASSE;430;D;PLASTIK;4.27;1.58;0.26;2012;;1;4.0;Lääne;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;OMAVALMISTATUD;-;D;PUIT;6.0;1.7;0.3;1988;;0;0.0;Tartu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KASSE;430;D;PLASTIK;4.33;1.68;0.26;2014;2014-08-25;1;4.0;Lääne;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;;PLASTIK;4.3;1.55;0.28;2003;;0;3.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;PROGRESS;4;D;ALUMIINIUM;4.65;1.7;0.3;1973;;1;30.0;Harju;FYYSILINE
ALLA12MLAEV;TÖÖPAAT;BUSTER;XS;D;ALUMIINIUM;4.15;1.65;0.3;2000;;1;14.7;Ida-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;ROBUST;10;D;PLASTIK;3.13;1.46;0.1;2012;;1;3.0;Pärnu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;TERHI;430S;C;PLASTIK;4.43;1.73;0.3;1974;;1;40.0;Jõgeva;FYYSILINE
VÄIKELAEV;MOOTORPAAT;POLAR BIRD;PB-385M;C;KANGAS;3.85;1.72;0.0;2011;2021-05-19;1;15.0;Harju;FYYSILINE
ALLA12MLAEV;KALAPAAT;MÄÄRAMATA;-;D;PLASTIK;5.6;2.3;0.4;1999;2015-02-25;1;75.0;Ida-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;D;PUIT;3.8;1.3;0.1;1990;;0;4.0;Ida-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;CHEYENNE III;300;D;KANGAS;2.62;1.27;0.1;2016;2016-04-28;1;1.8;Viljandi;FYYSILINE
VÄIKELAEV;MOOTORPAAT;TR650;TR650;C;ALUMIINIUM;6.5;2.3;0.25;;2020-03-11;1;103.0;Tartu;JURIIDILINE
VÄIKELAEV;PURJEJAHT;OMAVALMISTATUD;-;C;MUU;5.15;1.65;0.3;2007;;1;6.0;Tartu;FYYSILINE
ALLA12MLAEV;KALAPAAT;C-440;-;D;PLASTIK;4.4;1.66;0.3;1997;;1;14.7;Pärnu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;ALUNAUT;A6 RIB;C;ALUMIINIUM;6.25;2.5;0.48;2022;2022-08-16;1;150.0;Tartu;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;GLADIATOR;C 330 AL;C;KANGAS;3.3;1.54;0.18;2018;2019-01-08;1;14.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;KRÕM;-;D;ALUMIINIUM;4.3;1.6;0.3;1987;;0;22.0;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;CRAB;K-300;C;KANGAS;3.0;1.48;0.2;2017;2017-08-26;1;11.0;Pärnu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;ALUNAUT;AC-16;C;ALUMIINIUM;4.95;2.05;0.4;2018;2019-01-04;1;45.0;Tartu;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;AQUASTAR;C330;D;KANGAS;3.3;1.58;;2015;2015-06-18;1;11.0;Valga;FYYSILINE
VÄIKELAEV;MOOTORPAAT;SKIPP;400;D;PLASTIK;4.0;1.42;0.25;2012;;1;3.0;Järva;FYYSILINE
