LIIK;TYYP;MARK;MUDEL;KATEGOORIA;KERE_MATERJAL;PIKKUS;LAIUS;SYVIS;EHITUSAASTA;ESMANE_REG_KP;MOOTORITE_ARV;MOOTORITE_VOIMSUS;VKOM_MAAKOND;VKOM_TYYP
VÄIKELAEV;SÕUDEPAAT;KOLIBRI;KM 280;C;KANGAS;2.8;1.48;0.16;2017;2017-08-30;0;;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;RAIS-SPORT;470;C;PLASTIK;4.7;1.8;0.4;1985;2016-10-07;1;36.8;Võru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;FINNMASTER;520 CLX;C;PLASTIK;5.1;1.94;0.35;1997;;1;36.8;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;TERHI;385;D;PLASTIK;3.8;1.5;0.2;2007;;0;4.4;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;BUSTER;MAGNUM;C;ALUMIINIUM;6.7;2.4;0.5;2007;2017-10-31;1;166.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;OMAVALMISTATUD;-;D;PUIT;6.6;1.75;0.2;1999;;1;6.0;Tartu;FYYSILINE
ALLA12MLAEV;KALAPAAT;LAPPAJA;-;C;PUIT;8.8;2.5;0.4;1990;;1;150.0;Jõgeva;JURIIDILINE
VÄIKELAEV;SÕUDEPAAT;PELLA;FJORD;D;PLASTIK;4.36;1.46;0.3;1997;;1;6.0;Viljandi;FYYSILINE
VÄIKELAEV;MOOTORPAAT;SILVER;HAWK 540 CC;C;ALUMIINIUM;5.4;2.17;0.28;2008;2021-03-19;1;74.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KEFAL;-;D;PUIT;3.8;1.3;0.15;1991;;1;10.0;Ida-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;UTJONOK;-;D;PUIT;3.5;1.2;0.15;1985;;0;0.0;Tartu;FYYSILINE
VÄIKELAEV;KALAPAAT;-;-;;PUIT;6.0;1.3;0.0;1971;;0;15.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;D;ALUMIINIUM;4.63;1.2;0.1;1978;;0;5.0;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;JAGO;320;D;KANGAS;3.2;1.54;;2016;2016-08-29;0;11.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;NEPTUN;-;C;PLASTIK;4.3;1.86;0.2;1980;;1;29.0;Pärnu;FYYSILINE
