Match ID,City,Date,Match Type,Match Type Number,Season,Team Type,Team 1,Team 2,Toss Winner,Toss Decision,Venue,Winner,win_margin_type,Win Margin,Player of the Match,Event Name,Event Match Number,Event Stage,Gender,Umpire 1,Umpire 2,TV Umpire,Match Referee
426421,Mirpur,2010-03-02,ODI,2965,2009/10,international,Bangladesh,England,England,field,Shere Bangla National Stadium,England,wickets,2.0,EJG Morgan,England in Bangladesh ODI Series,2.0,,male,Nadir Shah,RJ Tucker,Sharfuddoula,JJ Crowe
426422,Chittagong,2010-03-05,ODI,2968,2009/10,international,Bangladesh,England,Bangladesh,field,Zohur Ahmed Chowdhury Stadium,England,runs,45.0,C Kieswetter,England in Bangladesh ODI Series,3.0,,male,Enamul Haque,RJ Tucker,Sharfuddoula,JJ Crowe
426428,Chester-le-Street,2010-09-10,ODI,3043,2010,international,England,Pakistan,Pakistan,field,Riverside Ground,England,runs,24.0,SM Davies,NatWest Series,1.0,,male,BR Doctrove,IJ Gould,RA Kettleborough,JJ Crowe
426429,Leeds,2010-09-12,ODI,3044,2010,international,England,Pakistan,Pakistan,bat,Headingley,England,wickets,4.0,AJ Strauss,NatWest Series,2.0,,male,BR Doctrove,NJ Llong,IJ Gould,JJ Crowe
426430,London,2010-09-17,ODI,3045,2010,international,England,Pakistan,Pakistan,bat,Kennington Oval,Pakistan,runs,23.0,Umar Gul,NatWest Series,3.0,,male,BR Doctrove,RK Illingworth,NJ Llong,JJ Crowe
426431,London,2010-09-20,ODI,3046,2010,international,England,Pakistan,Pakistan,bat,Lord's,Pakistan,runs,38.0,Abdul Razzaq,NatWest Series,4.0,,male,BR Doctrove,RA Kettleborough,RK Illingworth,JJ Crowe
426432,Southampton,2010-09-22,ODI,3047,2010,international,England,Pakistan,England,bat,The Rose Bowl,England,runs,121.0,EJG Morgan,NatWest Series,5.0,,male,BR Doctrove,IJ Gould,NJ Llong,JJ Crowe
426720,Abu Dhabi,2009-11-03,ODI,2921,2009/10,international,New Zealand,Pakistan,Pakistan,bat,Sheikh Zayed Stadium,Pakistan,runs,138.0,Shahid Afridi,Pakistan v New Zealand ODI Series,1.0,,male,Asad Rauf,BNJ Oxenford,Zameer Haider,AJ Pycroft
426721,Abu Dhabi,2009-11-06,ODI,2924,2009/10,international,New Zealand,Pakistan,New Zealand,bat,Sheikh Zayed Stadium,New Zealand,runs,64.0,BB McCullum,Pakistan v New Zealand ODI Series,2.0,,male,BNJ Oxenford,Zameer Haider,Asad Rauf,AJ Pycroft
426722,Abu Dhabi,2009-11-09,ODI,2927,2009/10,international,New Zealand,Pakistan,New Zealand,bat,Sheikh Zayed Stadium,New Zealand,runs,7.0,Mohammad Amir,Pakistan v New Zealand ODI Series,3.0,,male,Nadeem Ghauri,BNJ Oxenford,Zameer Haider,AJ Pycroft
430508,Benoni,2009-11-08,ODI,2926,2009/10,international,South Africa,Zimbabwe,Zimbabwe,field,Willowmoore Park,South Africa,runs,45.0,T Taibu,Zimbabwe in South Africa ODI Series,1.0,,male,HDPK Dharmasena,RE Koertzen,JD Cloete,J Srinath
430509,Centurion,2009-11-10,ODI,2928,2009/10,international,South Africa,Zimbabwe,Zimbabwe,field,SuperSport Park,South Africa,runs,212.0,JP Duminy,Zimbabwe in South Africa ODI Series,2.0,,male,JD Cloete,HDPK Dharmasena,RE Koertzen,J Srinath
430886,Rajkot,2009-12-15,ODI,2932,2009/10,international,India,Sri Lanka,Sri Lanka,field,Madhavrao Scindia Cricket Ground,India,runs,3.0,V Sehwag,Sri Lanka in India ODI Series,1.0,,male,M Erasmus,SK Tarapore,SS Hazare,JJ Crowe
430887,Nagpur,2009-12-18,ODI,2933,2009/10,international,India,Sri Lanka,India,bat,"Vidarbha Cricket Association Stadium, Jamtha",Sri Lanka,wickets,3.0,TM Dilshan,Sri Lanka in India ODI Series,2.0,,male,M Erasmus,SK Tarapore,SS Hazare,JJ Crowe
430888,Cuttack,2009-12-21,ODI,2934,2009/10,international,India,Sri Lanka,Sri Lanka,bat,Barabati Stadium,India,wickets,7.0,RA Jadeja,Sri Lanka in India ODI Series,3.0,,male,M Erasmus,SS Hazare,SK Tarapore,AG Hurst
430889,Kolkata,2009-12-24,ODI,2935,2009/10,international,India,Sri Lanka,Sri Lanka,bat,Eden Gardens,India,wickets,7.0,G Gambhir,Sri Lanka in India ODI Series,4.0,,male,M Erasmus,SS Hazare,SK Tarapore,AG Hurst
