time,open,high,low,close,Previous Day High,Previous Day Low,Previous Day Mid,Pivot Point (P),SMA 9,SMA 20,EMA 9,VWAP,SMA9 &gt; SMA20,SMA9 &lt; SMA20,EMA9 &gt; SMA20,EMA9 &lt; SMA20,Volume,instrument
2025-03-31 15:58:00-04:00,559.6,560.06,559.58,559.84,566.2675,555.07,560.66875,558.9991666666666,559.1277777777738,559.327149999998,559.3060734762847,554.725429589261,0,0,0,0,860896,SPY
2025-03-31 15:59:00-04:00,559.83,559.98,558.38,559.15,566.2675,555.07,560.66875,558.9991666666666,559.058888888885,559.3511499999979,559.2748587810278,554.971679399231,0,0,0,0,2909296,SPY
2025-03-31 16:00:00-04:00,559.14,559.39,557.79,557.96,566.2675,555.07,560.66875,558.9991666666666,558.9822222222183,559.289149999998,559.0118870248223,555.1756300044232,0,0,0,0,3828963,SPY
2025-03-31 16:01:00-04:00,557.9193,557.97,557.63,557.93,566.2675,555.07,560.66875,558.9991666666666,558.9299999999961,559.1956499999981,558.7955096198579,555.1846369149248,0,0,0,0,184060,SPY
2025-03-31 16:02:00-04:00,557.93,558.03,557.79,557.98,566.2675,555.07,560.66875,558.9991666666666,558.9322222222183,559.0796499999981,558.6324076958863,555.198886299386,0,0,0,0,288392,SPY
2025-03-31 16:03:00-04:00,558.015,558.23,557.94,558.07,566.2675,555.07,560.66875,558.9991666666666,558.7877777777738,558.966649999998,558.5199261567091,555.2052050915304,0,0,0,0,124786,SPY
2025-03-31 16:04:00-04:00,558.13,558.35,558.05,558.22,566.2675,555.07,560.66875,558.9991666666666,558.6544444444404,558.9066499999981,558.4599409253673,555.2134122970671,0,0,0,0,154776,SPY
2025-03-31 16:05:00-04:00,558.21,558.23,557.91,558.01,566.2675,555.07,560.66875,558.9991666666666,558.529999999996,558.8231499999981,558.3699527402938,555.2158035595814,0,0,0,0,48656,SPY
2025-03-31 16:06:00-04:00,558.01,558.06,557.97,557.98,566.2675,555.07,560.66875,558.9991666666666,558.348888888885,558.739899999998,558.291962192235,555.2173567639553,0,0,0,0,31992,SPY
2025-03-31 16:07:00-04:00,557.97,558.06,557.91,557.91,566.2675,555.07,560.66875,558.9991666666666,558.1344444444405,558.6702499999981,558.215569753788,555.2189848346269,0,0,0,0,34446,SPY
